symbol,strategy,action,entry_price,stop_loss,take_profit,confidence,phase,regime,macro_regime,stock_regime,current_price,upside_pct,net_upside_pct,risk_pct,est_cost_pct,name,analysis_date,ma5,ma20
600007.SH,wyckoff,buy,21.65,19.194,22.39,C,markup,bull,bull,bull,21.65,3.42,3.17,11.34,0.25,中国国贸,2026-05-13,,
600007.SH,ma_cross,buy,21.65,20.665,23.127,B,golden_cross,,,,21.65,6.82,6.57,4.55,0.25,中国国贸,2026-05-13,21.818,21.543
600015.SH,wyckoff,buy,6.57,6.607,7.23,C,accumulation,bear,bull,bear,6.57,10.05,9.8,,0.25,华夏银行,2026-05-13,,
600019.SH,ma_cross,buy,6.35,6.145,6.657,B,golden_cross,,,,6.35,4.84,4.59,3.23,0.25,宝钢股份,2026-05-13,6.402,6.368
600021.SH,ma_cross,buy,18.22,17.251,19.674,B,golden_cross,,,,18.22,7.98,7.73,5.32,0.25,上海电力,2026-05-13,18.004,17.814
600025.SH,ma_cross,buy,9.63,9.307,10.115,B,golden_cross,,,,9.63,5.03,4.78,3.35,0.25,华能水电,2026-05-13,9.616,9.609
600026.SH,ma_cross,buy,22.45,20.464,25.429,B,golden_cross,,,,22.45,13.27,13.02,8.85,0.25,中远海能,2026-05-13,22.618,22.131
600029.SH,ma_cross,buy,5.62,5.363,6.005,B,golden_cross,,,,5.62,6.86,6.61,4.57,0.25,南方航空,2026-05-13,5.64,5.638
600023.SH,wyckoff,buy,6.0,4.915,6.11,B,markup,bull,bull,bull,6.0,1.83,1.58,18.08,0.25,浙能电力,2026-05-13,,
600037.SH,wyckoff,buy,8.13,6.915,8.62,C,markup,bull,bull,bull,8.13,6.03,5.78,14.94,0.25,歌华有线,2026-05-13,,
600050.SH,ma_cross,buy,4.74,4.568,4.998,B,golden_cross,,,,4.74,5.44,5.19,3.63,0.25,中国联通,2026-05-13,4.622,4.567
600058.SH,ma_cross,buy,11.7,10.979,12.781,B,golden_cross,,,,11.7,9.24,8.99,6.16,0.25,五矿发展,2026-05-13,11.654,11.244
600076.SH,ma_cross,buy,4.24,3.88,4.78,B,golden_cross,,,,4.24,12.74,12.49,8.49,0.25,康欣新材,2026-05-13,3.886,3.559
600089.SH,ma_cross,buy,29.13,27.435,31.672,B,golden_cross,,,,29.13,8.73,8.48,5.82,0.25,特变电工,2026-05-13,28.21,27.586
600088.SH,wyckoff,buy,16.69,13.472,20.01,C,markup,range,bull,range,16.69,19.89,19.64,19.28,0.25,中视传媒,2026-05-13,,
600088.SH,ma_cross,buy,16.69,15.675,18.213,B,golden_cross,,,,16.69,9.12,8.87,6.08,0.25,中视传媒,2026-05-13,16.36,14.941
600100.SH,ma_cross,buy,9.1,8.53,9.955,B,golden_cross,,,,9.1,9.4,9.15,6.26,0.25,同方股份,2026-05-13,8.86,8.454
600115.SH,ma_cross,buy,4.51,4.206,4.966,B,golden_cross,,,,4.51,10.11,9.86,6.74,0.25,中国东航,2026-05-13,4.522,4.458
600113.SH,ma_cross,buy,45.11,40.489,52.041,B,golden_cross,,,,45.11,15.37,15.12,10.24,0.25,浙江东日,2026-05-13,46.384,46.045
600117.SH,ma_cross,buy,2.53,2.42,2.695,B,golden_cross,,,,2.53,6.52,6.27,4.35,0.25,西宁特钢,2026-05-13,2.594,2.592
600131.SH,ma_cross,buy,18.5,17.392,20.162,B,golden_cross,,,,18.5,8.98,8.73,5.99,0.25,国网信通,2026-05-13,18.092,17.976
600153.SH,wyckoff,buy,10.28,8.567,10.68,C,markup,range,bull,range,10.28,3.89,3.64,16.66,0.25,建发股份,2026-05-13,,
600158.SH,ma_cross,buy,13.73,12.432,15.677,B,golden_cross,,,,13.73,14.18,13.93,9.45,0.25,中体产业,2026-05-13,13.606,11.719
600159.SH,wyckoff,buy,3.36,2.657,3.48,C,markup,bull,bull,bull,3.36,3.57,3.32,20.92,0.25,大龙地产,2026-05-13,,
600155.SH,ma_cross,buy,6.34,6.095,6.708,B,golden_cross,,,,6.34,5.8,5.55,3.86,0.25,华创云信,2026-05-13,6.344,6.287
600172.SH,ma_cross,buy,11.84,10.681,13.579,B,golden_cross,,,,11.84,14.68,14.43,9.79,0.25,黄河旋风,2026-05-13,10.022,8.919
600170.SH,ma_cross,buy,2.69,2.607,2.814,B,golden_cross,,,,2.69,4.63,4.38,3.09,0.25,上海建工,2026-05-13,2.712,2.706
600189.SH,wyckoff,buy,8.58,7.164,9.13,B,markup,bull,bull,bull,8.58,6.41,6.16,16.5,0.25,泉阳泉,2026-05-13,,
600192.SH,ma_cross,buy,9.07,8.629,9.732,B,golden_cross,,,,9.07,7.29,7.04,4.86,0.25,长城电工,2026-05-13,8.814,8.431
600198.SH,ma_cross,buy,10.16,9.456,11.216,B,golden_cross,,,,10.16,10.39,10.14,6.93,0.25,大唐电信,2026-05-13,9.502,8.644
600201.SH,ma_cross,buy,14.21,13.189,15.742,B,golden_cross,,,,14.21,10.78,10.53,7.19,0.25,生物股份,2026-05-13,14.952,14.508
600207.SH,ma_cross,buy,6.56,6.023,7.365,B,golden_cross,,,,6.56,12.28,12.03,8.19,0.25,安彩高科,2026-05-13,6.426,5.851
600211.SH,ma_cross,buy,42.86,41.005,45.642,B,golden_cross,,,,42.86,6.49,6.24,4.33,0.25,西藏药业,2026-05-13,42.41,41.528
600218.SH,ma_cross,buy,9.66,9.164,10.404,B,golden_cross,,,,9.66,7.7,7.45,5.13,0.25,全柴动力,2026-05-13,9.718,9.663
600222.SH,ma_cross,buy,7.63,7.12,8.395,B,golden_cross,,,,7.63,10.03,9.78,6.68,0.25,太龙药业,2026-05-13,7.404,7.173
600237.SH,ma_cross,buy,9.5,8.894,10.409,B,golden_cross,,,,9.5,9.57,9.32,6.38,0.25,铜峰电子,2026-05-13,9.388,9.275
600243.SH,wyckoff,buy,4.44,2.846,4.59,C,markup,range,bull,range,4.44,3.38,3.13,35.9,0.25,*ST海华,2026-05-13,,
600249.SH,ma_cross,buy,5.91,5.555,6.443,B,golden_cross,,,,5.91,9.01,8.76,6.01,0.25,两面针,2026-05-13,6.066,6.0
600259.SH,ma_cross,buy,104.58,92.146,123.231,B,golden_cross,,,,104.58,17.83,17.58,11.89,0.25,中稀有色,2026-05-13,103.594,97.24
