symbol,symbol_name,fast_ma,slow_ma,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,annualized_excess_return,max_drawdown,trade_count,turnover_rate,whipsaw_rate,enable_volatility_scaling,target_volatility,eligible,group,candidate_key,group_eligible
000001.SH,上证综指,20,250,14,20,1.0,1.15,0.004490747625012448,-0.21630205276541703,5,4.9384544566425275,0.0,False,0.15,True,large_cap,vol_off|tv=0.15|atr=14/20|buy=1.00|sell=1.15,True
000016.SH,上证50,20,250,14,20,1.0,1.15,0.010203034913948805,-0.2669407619105403,3,2.913741063591006,0.0,False,0.15,True,large_cap,vol_off|tv=0.15|atr=14/20|buy=1.00|sell=1.15,True
000300.SH,沪深300,20,250,14,20,1.0,1.15,0.01720181334319859,-0.1741229120572817,3,2.957916015302514,0.0,False,0.15,True,large_cap,vol_off|tv=0.15|atr=14/20|buy=1.00|sell=1.15,True
000001.SH,上证综指,20,250,14,20,1.0,1.15,0.007480497148644849,-0.21630205276541692,6,4.297362067847159,0.0,True,0.12,True,large_cap,vol_on|tv=0.12|atr=14/20|buy=1.00|sell=1.15,True
000016.SH,上证50,20,250,14,20,1.0,1.15,0.018125366180096747,-0.2187182656326998,4,2.107837745968012,0.0,True,0.12,True,large_cap,vol_on|tv=0.12|atr=14/20|buy=1.00|sell=1.15,True
000300.SH,沪深300,20,250,14,20,1.0,1.15,0.016865069560678236,-0.17268563007324,3,2.947497249589246,0.0,True,0.12,True,large_cap,vol_on|tv=0.12|atr=14/20|buy=1.00|sell=1.15,True
000001.SH,上证综指,20,250,14,20,1.0,1.15,0.009605279345216378,-0.2163020527654168,5,4.387713741894207,0.0,True,0.15,True,large_cap,vol_on|tv=0.15|atr=14/20|buy=1.00|sell=1.15,True
000016.SH,上证50,20,250,14,20,1.0,1.15,0.013803019638598424,-0.24213215428060575,4,2.384872159966763,0.0,True,0.15,True,large_cap,vol_on|tv=0.15|atr=14/20|buy=1.00|sell=1.15,True
000300.SH,沪深300,20,250,14,20,1.0,1.15,0.01720181334319859,-0.1741229120572817,3,2.957916015302514,0.0,True,0.15,True,large_cap,vol_on|tv=0.15|atr=14/20|buy=1.00|sell=1.15,True
000001.SH,上证综指,20,250,14,20,1.05,1.15,0.004490747625012448,-0.21630205276541703,5,4.9384544566425275,0.0,False,0.15,True,large_cap,vol_off|tv=0.15|atr=14/20|buy=1.05|sell=1.15,True
000016.SH,上证50,20,250,14,20,1.05,1.15,0.010203034913948805,-0.2669407619105403,3,2.913741063591006,0.0,False,0.15,True,large_cap,vol_off|tv=0.15|atr=14/20|buy=1.05|sell=1.15,True
000300.SH,沪深300,20,250,14,20,1.05,1.15,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,False,0.15,True,large_cap,vol_off|tv=0.15|atr=14/20|buy=1.05|sell=1.15,True
000001.SH,上证综指,20,250,14,20,1.05,1.15,0.007480497148644849,-0.21630205276541692,6,4.297362067847159,0.0,True,0.12,True,large_cap,vol_on|tv=0.12|atr=14/20|buy=1.05|sell=1.15,True
000016.SH,上证50,20,250,14,20,1.05,1.15,0.018125366180096747,-0.2187182656326998,4,2.107837745968012,0.0,True,0.12,True,large_cap,vol_on|tv=0.12|atr=14/20|buy=1.05|sell=1.15,True
000300.SH,沪深300,20,250,14,20,1.05,1.15,0.05012577833769005,-0.3029577628275969,5,5.74223242033591,0.0,True,0.12,True,large_cap,vol_on|tv=0.12|atr=14/20|buy=1.05|sell=1.15,True
