group,candidate_key,enable_volatility_scaling,target_volatility,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,group_eligible,avg_excess,avg_drawdown,avg_trades,avg_turnover,avg_whipsaw
large_cap,vol_on|tv=0.12|atr=14/20|buy=1.05|sell=1.15,True,0.12,14,20,1.05,1.15,3,0.025243880555477216,-0.24599269374190455,5.0,4.04914407805036,0.0
large_cap,vol_on|tv=0.15|atr=14/20|buy=1.05|sell=1.15,True,0.15,14,20,1.05,1.15,3,0.024796012167056847,-0.25474490324840676,4.666666666666667,4.191160625843576,0.0
large_cap,vol_off|tv=0.15|atr=14/20|buy=1.05|sell=1.15,False,0.15,14,20,1.05,1.15,3,0.021891173352105664,-0.2630144391250517,4.333333333333333,4.55103049863443,0.0
large_cap,vol_on|tv=0.12|atr=14/20|buy=1.00|sell=1.15,True,0.12,14,20,1.0,1.15,3,0.01415697762980661,-0.20256864949045225,4.333333333333333,3.117565687801472,0.0
large_cap,vol_on|tv=0.15|atr=14/20|buy=1.00|sell=1.15,True,0.15,14,20,1.0,1.15,3,0.013536704109004464,-0.21085237303443474,4.0,3.2435006390544943,0.0
large_cap,vol_off|tv=0.15|atr=14/20|buy=1.00|sell=1.15,False,0.15,14,20,1.0,1.15,3,0.01063186529405328,-0.21912190891107966,3.6666666666666665,3.6033705118453496,0.0
large_cap,vol_off|tv=0.15|atr=20/40|buy=1.00|sell=1.05,False,0.15,20,40,1.0,1.05,2,0.025331696940374848,-0.19631477487984325,4.0,4.4203422896586915,0.0
large_cap,vol_on|tv=0.15|atr=20/40|buy=1.00|sell=1.05,True,0.15,20,40,1.0,1.05,2,0.025331696940374848,-0.19631477487984325,4.0,4.4203422896586915,0.0
large_cap,vol_on|tv=0.12|atr=14/60|buy=1.00|sell=1.05,True,0.12,14,60,1.0,1.05,2,0.023650221704808277,-0.3129380423677168,5.0,4.0769296116524,0.0
large_cap,vol_on|tv=0.12|atr=14/60|buy=1.05|sell=1.05,True,0.12,14,60,1.05,1.05,2,0.023650221704808277,-0.3129380423677168,5.0,4.0769296116524,0.0
large_cap,vol_on|tv=0.12|atr=20/40|buy=1.00|sell=1.05,True,0.12,20,40,1.0,1.05,2,0.023633785006272407,-0.18890129229376992,4.333333333333333,4.232454821841379,0.0
large_cap,vol_on|tv=0.15|atr=14/60|buy=1.00|sell=1.05,True,0.15,14,60,1.0,1.05,2,0.023547623158937697,-0.3353180549188926,4.666666666666667,4.1402565655377055,0.0
large_cap,vol_on|tv=0.15|atr=14/60|buy=1.05|sell=1.05,True,0.15,14,60,1.05,1.05,2,0.023547623158937697,-0.3353180549188926,4.666666666666667,4.1402565655377055,0.0
large_cap,vol_off|tv=0.15|atr=14/60|buy=1.00|sell=1.05,False,0.15,14,60,1.0,1.05,2,0.022985048723888624,-0.33832913071965454,3.6666666666666665,4.0861165975173535,0.0
large_cap,vol_off|tv=0.15|atr=14/60|buy=1.05|sell=1.05,False,0.15,14,60,1.05,1.05,2,0.022985048723888624,-0.33832913071965454,3.6666666666666665,4.0861165975173535,0.0
large_cap,vol_on|tv=0.12|atr=20/40|buy=1.05|sell=1.05,True,0.12,20,40,1.05,1.05,2,0.02148467232252708,-0.3157053206574056,6.0,4.890197153212125,0.0
large_cap,vol_on|tv=0.15|atr=20/40|buy=1.05|sell=1.05,True,0.15,20,40,1.05,1.05,2,0.020865635235770896,-0.33843965143391674,5.666666666666667,5.146472788282055,0.0
large_cap,vol_off|tv=0.15|atr=20/40|buy=1.05|sell=1.05,False,0.15,20,40,1.05,1.05,2,0.01962544385902265,-0.341420919479606,5.0,5.314827557207885,0.0
