symbol,symbol_name,fast_ma,slow_ma,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,annualized_excess_return,max_drawdown,trade_count,turnover_rate,whipsaw_rate,enable_volatility_scaling,target_volatility,eligible,group,candidate_key,calmar_ratio
399001.SZ,深证成指,20,120,14,20,1.0,1.05,-0.01126874461252747,-0.1963509610832017,4,4.86579859729097,0.0,False,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.05|vol_off|tv=0.15,-0.05739082992189916
000905.SH,中证500,20,120,14,20,1.0,1.05,-0.06321240300046949,-0.4228116408451046,6,7.0423847337389045,0.0,False,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.05|vol_off|tv=0.15,-0.14950487851782468
399001.SZ,深证成指,20,120,14,20,1.0,1.05,-0.020376734642761463,-0.16369124971762183,6,3.9353797740546805,0.0,True,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.05|vol_on|tv=0.15,-0.12448273611395032
000905.SH,中证500,20,120,14,20,1.0,1.05,-0.0693549546310307,-0.41310326390901364,9,6.32895908930681,0.0,True,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.05|vol_on|tv=0.15,-0.16788769465231382
399001.SZ,深证成指,20,120,14,20,1.0,1.05,-0.015084358704338552,-0.18202324769873612,5,4.425975004448497,0.0,True,0.18,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.05|vol_on|tv=0.18,-0.08287050635040004
000905.SH,中证500,20,120,14,20,1.0,1.05,-0.06825984432056897,-0.42268447329285586,8,6.8400153330782745,0.0,True,0.18,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.05|vol_on|tv=0.18,-0.16149125088225164
399001.SZ,深证成指,20,120,14,20,1.0,1.1,-0.0029829291525320656,-0.27346591898117134,4,4.9252299879468024,0.0,False,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.10|vol_off|tv=0.15,-0.010907864364397985
000905.SH,中证500,20,120,14,20,1.0,1.1,-0.06321240300046949,-0.4228116408451046,6,7.0423847337389045,0.0,False,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.10|vol_off|tv=0.15,-0.14950487851782468
399001.SZ,深证成指,20,120,14,20,1.0,1.1,-0.01451495570714112,-0.22064074992147364,6,3.9753767855355955,0.0,True,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.10|vol_on|tv=0.15,-0.06578547123460654
000905.SH,中证500,20,120,14,20,1.0,1.1,-0.0693549546310307,-0.41310326390901364,9,6.32895908930681,0.0,True,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.10|vol_on|tv=0.15,-0.16788769465231382
399001.SZ,深证成指,20,120,14,20,1.0,1.1,-0.007939236584667109,-0.2497757230910551,5,4.476151556645326,0.0,True,0.18,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.10|vol_on|tv=0.18,-0.031785461318724235
000905.SH,中证500,20,120,14,20,1.0,1.1,-0.06825984432056897,-0.42268447329285586,8,6.8400153330782745,0.0,True,0.18,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.10|vol_on|tv=0.18,-0.16149125088225164
399001.SZ,深证成指,20,120,14,20,1.0,1.15,-0.04319565431758199,-0.42615073148420923,4,4.100260021490865,0.0,False,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.15|vol_off|tv=0.15,-0.10136238454205863
000905.SH,中证500,20,120,14,20,1.0,1.15,-0.03819259498974725,-0.369593216707909,4,4.799895374837449,0.0,False,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.15|vol_off|tv=0.15,-0.10333683970160906
399001.SZ,深证成指,20,120,14,20,1.0,1.15,-0.054282176362119516,-0.3844270389333777,6,3.350023274665871,0.0,True,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.15|vol_on|tv=0.15,-0.14120280538208127
000905.SH,中证500,20,120,14,20,1.0,1.15,-0.049833457975781315,-0.3677572244411583,8,4.568114798646275,0.0,True,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.15|vol_on|tv=0.15,-0.13550640113598839
399001.SZ,深证成指,20,120,14,20,1.0,1.15,-0.04796048999894886,-0.40743915010391785,5,3.7455576943169078,0.0,True,0.18,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.15|vol_on|tv=0.18,-0.11771203132226365
000905.SH,中证500,20,120,14,20,1.0,1.15,-0.044635676184866746,-0.3682692259314294,7,4.669269781436406,0.0,True,0.18,False,balanced,ma=20/120|atr=14/20|buy=1.00|sell=1.15|vol_on|tv=0.18,-0.12120392648061712
399001.SZ,深证成指,20,120,14,20,1.05,1.05,-0.039150743142209565,-0.31784563015064216,6,6.935037907323238,0.0,False,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.05|vol_off|tv=0.15,-0.12317533868140382
000905.SH,中证500,20,120,14,20,1.05,1.05,-0.06321240300046949,-0.4228116408451046,6,7.0423847337389045,0.0,False,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.05|vol_off|tv=0.15,-0.14950487851782468
399001.SZ,深证成指,20,120,14,20,1.05,1.05,-0.045453901081360715,-0.27913081110569227,9,5.983519467507025,0.0,True,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.05|vol_on|tv=0.15,-0.16284085909867432
000905.SH,中证500,20,120,14,20,1.05,1.05,-0.0693549546310307,-0.41310326390901364,9,6.32895908930681,0.0,True,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.05|vol_on|tv=0.15,-0.16788769465231382
399001.SZ,深证成指,20,120,14,20,1.05,1.05,-0.0420219957532415,-0.30218229323781365,8,6.487466698259912,0.0,True,0.18,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.05|vol_on|tv=0.18,-0.13906174085511597
000905.SH,中证500,20,120,14,20,1.05,1.05,-0.06825984432056897,-0.42268447329285586,8,6.8400153330782745,0.0,True,0.18,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.05|vol_on|tv=0.18,-0.16149125088225164
399001.SZ,深证成指,20,120,14,20,1.05,1.1,-0.031088651890425867,-0.38330244396298996,6,6.985484533747063,0.0,False,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.10|vol_off|tv=0.15,-0.08110736672847213
000905.SH,中证500,20,120,14,20,1.05,1.1,-0.06321240300046949,-0.4228116408451046,6,7.0423847337389045,0.0,False,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.10|vol_off|tv=0.15,-0.14950487851782468
399001.SZ,深证成指,20,120,14,20,1.05,1.1,-0.03973574027339555,-0.32821930863250315,9,6.017995506666855,0.0,True,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.10|vol_on|tv=0.15,-0.12106460292951993
000905.SH,中证500,20,120,14,20,1.05,1.1,-0.0693549546310307,-0.41310326390901364,9,6.32895908930681,0.0,True,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.10|vol_on|tv=0.15,-0.16788769465231382
399001.SZ,深证成指,20,120,14,20,1.05,1.1,-0.03506395506339044,-0.35998207406620153,8,6.530272421636178,0.0,True,0.18,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.10|vol_on|tv=0.18,-0.09740472537235867
000905.SH,中证500,20,120,14,20,1.05,1.1,-0.06825984432056897,-0.42268447329285586,8,6.8400153330782745,0.0,True,0.18,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.10|vol_on|tv=0.18,-0.16149125088225164
399001.SZ,深证成指,20,120,14,20,1.05,1.15,-0.04319565431758199,-0.42615073148420923,4,4.100260021490865,0.0,False,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.15|vol_off|tv=0.15,-0.10136238454205863
000905.SH,中证500,20,120,14,20,1.05,1.15,-0.03819259498974725,-0.369593216707909,4,4.799895374837449,0.0,False,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.15|vol_off|tv=0.15,-0.10333683970160906
399001.SZ,深证成指,20,120,14,20,1.05,1.15,-0.05179937165612425,-0.37512109670103255,8,3.907725238023305,0.0,True,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.15|vol_on|tv=0.15,-0.13808706604792156
000905.SH,中证500,20,120,14,20,1.05,1.15,-0.049833457975781315,-0.3677572244411583,8,4.568114798646275,0.0,True,0.15,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.15|vol_on|tv=0.15,-0.13550640113598839
399001.SZ,深证成指,20,120,14,20,1.05,1.15,-0.047141058278716286,-0.4045137062702633,7,3.937385667880392,0.0,True,0.18,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.15|vol_on|tv=0.18,-0.11653760440745227
000905.SH,中证500,20,120,14,20,1.05,1.15,-0.044635676184866746,-0.3682692259314294,7,4.669269781436406,0.0,True,0.18,False,balanced,ma=20/120|atr=14/20|buy=1.05|sell=1.15|vol_on|tv=0.18,-0.12120392648061712
399001.SZ,深证成指,20,120,14,40,1.0,1.05,-0.031088651890425867,-0.38330244396298996,6,6.985484533747063,0.0,False,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.05|vol_off|tv=0.15,-0.08110736672847213
000905.SH,中证500,20,120,14,40,1.0,1.05,-0.06012576680261872,-0.4240151248886671,8,9.23182745228097,0.0,False,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.05|vol_off|tv=0.15,-0.14180099546780514
399001.SZ,深证成指,20,120,14,40,1.0,1.05,-0.03973574027339555,-0.32821930863250315,9,6.017995506666855,0.0,True,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.05|vol_on|tv=0.15,-0.12106460292951993
000905.SH,中证500,20,120,14,40,1.0,1.05,-0.06795984162855007,-0.41310326390901375,10,8.107057400003693,0.0,True,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.05|vol_on|tv=0.15,-0.16451054146964636
399001.SZ,深证成指,20,120,14,40,1.0,1.05,-0.03506395506339044,-0.35998207406620153,8,6.530272421636178,0.0,True,0.18,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.05|vol_on|tv=0.18,-0.09740472537235867
000905.SH,中证500,20,120,14,40,1.0,1.05,-0.06639608064376568,-0.42268447329285597,10,8.949908043213204,0.0,True,0.18,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.05|vol_on|tv=0.18,-0.15708190113187173
399001.SZ,深证成指,20,120,14,40,1.0,1.1,-0.031088651890425867,-0.38330244396298996,6,6.985484533747063,0.0,False,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.10|vol_off|tv=0.15,-0.08110736672847213
000905.SH,中证500,20,120,14,40,1.0,1.1,-0.05352832924039297,-0.4240151248886672,6,7.101755199551651,0.0,False,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.10|vol_off|tv=0.15,-0.126241556252145
399001.SZ,深证成指,20,120,14,40,1.0,1.1,-0.03973574027339555,-0.32821930863250315,9,6.017995506666855,0.0,True,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.10|vol_on|tv=0.15,-0.12106460292951993
000905.SH,中证500,20,120,14,40,1.0,1.1,-0.062348235247245976,-0.41310326390901364,9,6.37034185769721,0.0,True,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.10|vol_on|tv=0.15,-0.15092651328210815
399001.SZ,深证成指,20,120,14,40,1.0,1.1,-0.03506395506339044,-0.35998207406620153,8,6.530272421636178,0.0,True,0.18,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.10|vol_on|tv=0.18,-0.09740472537235867
000905.SH,中证500,20,120,14,40,1.0,1.1,-0.0598398914974807,-0.42268447329285586,8,6.890195591202967,0.0,True,0.18,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.10|vol_on|tv=0.18,-0.14157106607514486
399001.SZ,深证成指,20,120,14,40,1.0,1.15,-0.05407266733436766,-0.4637710537215195,4,4.594315827845391,0.0,False,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.15|vol_off|tv=0.15,-0.11659345036837221
000905.SH,中证500,20,120,14,40,1.0,1.15,-0.03819259498974725,-0.369593216707909,4,4.799895374837449,0.0,False,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.15|vol_off|tv=0.15,-0.10333683970160906
399001.SZ,深证成指,20,120,14,40,1.0,1.15,-0.06259464585397967,-0.4475766914917626,8,4.3464912982107595,0.0,True,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.15|vol_on|tv=0.15,-0.1398523360216842
000905.SH,中证500,20,120,14,40,1.0,1.15,-0.049833457975781315,-0.3677572244411583,8,4.568114798646275,0.0,True,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.15|vol_on|tv=0.15,-0.13550640113598839
399001.SZ,深证成指,20,120,14,40,1.0,1.15,-0.05799007501399922,-0.457952681297187,7,4.483329314021907,0.0,True,0.18,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.15|vol_on|tv=0.18,-0.12662896710144325
000905.SH,中证500,20,120,14,40,1.0,1.15,-0.044635676184866746,-0.3682692259314294,7,4.669269781436406,0.0,True,0.18,False,balanced,ma=20/120|atr=14/40|buy=1.00|sell=1.15|vol_on|tv=0.18,-0.12120392648061712
399001.SZ,深证成指,20,120,14,40,1.05,1.05,0.013985419814333433,-0.38330244396298996,7,8.064383627225059,0.0,False,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.05|vol_off|tv=0.15,0.03648664399250166
000905.SH,中证500,20,120,14,40,1.05,1.05,-0.013146296591905582,-0.4240151248886671,9,10.24900910422015,0.0,False,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.05|vol_off|tv=0.15,-0.031004310507455085
399001.SZ,深证成指,20,120,14,40,1.05,1.05,0.004953502954498257,-0.32821930863250315,10,7.042897678899629,0.0,True,0.15,True,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.05|vol_on|tv=0.15,0.015092052247433554
000905.SH,中证500,20,120,14,40,1.05,1.05,-0.021658638438784017,-0.41310326390901375,12,9.074105311786758,0.0,True,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.05|vol_on|tv=0.15,-0.05242911477831932
399001.SZ,深证成指,20,120,14,40,1.05,1.05,0.009833200459022029,-0.35998207406620153,9,7.5840607291365325,0.0,True,0.18,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.05|vol_on|tv=0.18,0.027315805889861284
000905.SH,中证500,20,120,14,40,1.05,1.05,-0.020081006011968716,-0.42268447329285597,12,9.92543059026689,0.0,True,0.18,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.05|vol_on|tv=0.18,-0.04750826510264463
399001.SZ,深证成指,20,120,14,40,1.05,1.1,0.013985419814333433,-0.38330244396298996,7,8.064383627225059,0.0,False,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.10|vol_off|tv=0.15,0.03648664399250166
000905.SH,中证500,20,120,14,40,1.05,1.1,-0.006239810905930732,-0.4240151248886672,7,8.159668722525163,0.0,False,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.10|vol_off|tv=0.15,-0.014716010207346038
399001.SZ,深证成指,20,120,14,40,1.05,1.1,0.004953502954498257,-0.32821930863250315,10,7.042897678899629,0.0,True,0.15,True,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.10|vol_on|tv=0.15,0.015092052247433554
000905.SH,中证500,20,120,14,40,1.05,1.1,-0.015785919376323454,-0.41310326390901364,11,7.370509250873792,0.0,True,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.10|vol_on|tv=0.15,-0.03821301053627191
399001.SZ,深证成指,20,120,14,40,1.05,1.1,0.009833200459022029,-0.35998207406620153,9,7.5840607291365325,0.0,True,0.18,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.10|vol_on|tv=0.18,0.027315805889861284
000905.SH,中证500,20,120,14,40,1.05,1.1,-0.013220139378856688,-0.42268447329285586,10,7.904781818280693,0.0,True,0.18,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.10|vol_on|tv=0.18,-0.03127661462430192
399001.SZ,深证成指,20,120,14,40,1.05,1.15,-0.010021472147554222,-0.4637710537215195,5,5.5346558852570675,0.0,False,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.15|vol_off|tv=0.15,-0.021608662436211065
000905.SH,中证500,20,120,14,40,1.05,1.15,0.00981430526978433,-0.369593216707909,5,5.957765815254877,0.0,False,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.15|vol_off|tv=0.15,0.026554343602957987
399001.SZ,深证成指,20,120,14,40,1.05,1.15,-0.01892271127701961,-0.4475766914917626,9,5.23938148553215,0.0,True,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.15|vol_on|tv=0.15,-0.04227814280040066
000905.SH,中证500,20,120,14,40,1.05,1.15,-0.0026888191788745353,-0.3677572244411583,10,5.645559210583473,0.0,True,0.15,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.15|vol_on|tv=0.15,-0.007311397302827834
399001.SZ,深证成指,20,120,14,40,1.05,1.15,-0.014113219438838254,-0.457952681297187,8,5.401603215392366,0.0,True,0.18,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.15|vol_on|tv=0.18,-0.030818073602847895
000905.SH,中证500,20,120,14,40,1.05,1.15,0.0026906422037751287,-0.3682692259314294,9,5.779486487796108,0.0,True,0.18,False,balanced,ma=20/120|atr=14/40|buy=1.05|sell=1.15|vol_on|tv=0.18,0.007306182581425139
399001.SZ,深证成指,20,120,14,60,1.0,1.05,-3.3036206840808546e-05,-0.43064859173698256,9,10.11910870507433,0.0,False,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.05|vol_off|tv=0.15,-7.67126782130181e-05
000905.SH,中证500,20,120,14,60,1.0,1.05,-0.013146296591905582,-0.4240151248886671,9,10.24900910422015,0.0,False,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.05|vol_off|tv=0.15,-0.031004310507455085
399001.SZ,深证成指,20,120,14,60,1.0,1.05,-0.006053942165145987,-0.3693465694338701,11,8.58631551351753,0.0,True,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.05|vol_on|tv=0.15,-0.016390952742367133
000905.SH,中证500,20,120,14,60,1.0,1.05,-0.021658638438784017,-0.41310326390901375,12,9.074105311786758,0.0,True,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.05|vol_on|tv=0.15,-0.05242911477831932
399001.SZ,深证成指,20,120,14,60,1.0,1.05,-0.0029026373490499413,-0.40492889090017725,10,9.417725986243251,0.0,True,0.18,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.05|vol_on|tv=0.18,-0.007168264389822205
000905.SH,中证500,20,120,14,60,1.0,1.05,-0.020081006011968716,-0.42268447329285597,12,9.92543059026689,0.0,True,0.18,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.05|vol_on|tv=0.18,-0.04750826510264463
399001.SZ,深证成指,20,120,14,60,1.0,1.1,-0.023721804046819894,-0.5049393292930051,7,7.783597499764703,0.0,False,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.10|vol_off|tv=0.15,-0.046979513519048256
000905.SH,中证500,20,120,14,60,1.0,1.1,0.0028028999403675314,-0.3695932167079088,7,8.131884038712363,0.0,False,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.10|vol_off|tv=0.15,0.007583742919672349
399001.SZ,深证成指,20,120,14,60,1.0,1.1,-0.029679582246464165,-0.4813967428473971,10,6.893212855098673,0.0,True,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.10|vol_on|tv=0.15,-0.06165305994991454
000905.SH,中证500,20,120,14,60,1.0,1.1,-0.008634984307837046,-0.36775722444115844,11,7.406275160780869,0.0,True,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.10|vol_on|tv=0.15,-0.023480121487643685
399001.SZ,深证成指,20,120,14,60,1.0,1.1,-0.026559631903754877,-0.4960192737501039,9,7.38853686412276,0.0,True,0.18,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.10|vol_on|tv=0.18,-0.05354556427405219
000905.SH,中证500,20,120,14,60,1.0,1.1,-0.004274207327695123,-0.3682692259314294,11,7.881963550499161,0.0,True,0.18,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.10|vol_on|tv=0.18,-0.011606202817747708
399001.SZ,深证成指,20,120,14,60,1.0,1.15,-0.010021472147554222,-0.4637710537215195,5,5.5346558852570675,0.0,False,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.15|vol_off|tv=0.15,-0.021608662436211065
000905.SH,中证500,20,120,14,60,1.0,1.15,0.0028028999403675314,-0.3695932167079088,7,8.131884038712363,0.0,False,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.15|vol_off|tv=0.15,0.007583742919672349
399001.SZ,深证成指,20,120,14,60,1.0,1.15,-0.01892271127701961,-0.4475766914917626,9,5.23938148553215,0.0,True,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.15|vol_on|tv=0.15,-0.04227814280040066
000905.SH,中证500,20,120,14,60,1.0,1.15,-0.008634984307837046,-0.36775722444115844,11,7.406275160780869,0.0,True,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.15|vol_on|tv=0.15,-0.023480121487643685
399001.SZ,深证成指,20,120,14,60,1.0,1.15,-0.014113219438838254,-0.457952681297187,8,5.401603215392366,0.0,True,0.18,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.15|vol_on|tv=0.18,-0.030818073602847895
000905.SH,中证500,20,120,14,60,1.0,1.15,-0.004274207327695123,-0.3682692259314294,11,7.881963550499161,0.0,True,0.18,False,balanced,ma=20/120|atr=14/60|buy=1.00|sell=1.15|vol_on|tv=0.18,-0.011606202817747708
399001.SZ,深证成指,20,120,14,60,1.05,1.05,-3.3036206840808546e-05,-0.43064859173698256,9,10.11910870507433,0.0,False,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.05|sell=1.05|vol_off|tv=0.15,-7.67126782130181e-05
000905.SH,中证500,20,120,14,60,1.05,1.05,-0.013146296591905582,-0.4240151248886671,9,10.24900910422015,0.0,False,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.05|sell=1.05|vol_off|tv=0.15,-0.031004310507455085
399001.SZ,深证成指,20,120,14,60,1.05,1.05,-0.006053942165145987,-0.3693465694338701,11,8.58631551351753,0.0,True,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.05|sell=1.05|vol_on|tv=0.15,-0.016390952742367133
000905.SH,中证500,20,120,14,60,1.05,1.05,-0.021658638438784017,-0.41310326390901375,12,9.074105311786758,0.0,True,0.15,False,balanced,ma=20/120|atr=14/60|buy=1.05|sell=1.05|vol_on|tv=0.15,-0.05242911477831932
399001.SZ,深证成指,20,120,14,60,1.05,1.05,-0.0029026373490499413,-0.40492889090017725,10,9.417725986243251,0.0,True,0.18,False,balanced,ma=20/120|atr=14/60|buy=1.05|sell=1.05|vol_on|tv=0.18,-0.007168264389822205
000905.SH,中证500,20,120,14,60,1.05,1.05,-0.020081006011968716,-0.42268447329285597,12,9.92543059026689,0.0,True,0.18,False,balanced,ma=20/120|atr=14/60|buy=1.05|sell=1.05|vol_on|tv=0.18,-0.04750826510264463
