symbol,symbol_name,fast_ma,slow_ma,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,annualized_excess_return,max_drawdown,trade_count,turnover_rate,whipsaw_rate,enable_volatility_scaling,target_volatility,eligible,group,candidate_key,calmar_ratio
399006.SZ,创业板指,5,250,14,20,1.0,1.05,-0.0670185416525182,-0.060411755850752424,1,0.3755979048922139,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/20|buy=1.00|sell=1.05|vol_on|tv=0.18,-1.1093625852903177
000852.SH,中证1000,5,250,14,20,1.0,1.05,-0.042831879703189024,-0.2684765022075096,8,5.486104900103693,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/20|buy=1.00|sell=1.05|vol_on|tv=0.18,-0.15953679130579407
932000.SH,中证2000,5,250,14,20,1.0,1.05,-0.027777240069045916,-0.43739242468494755,9,6.215118863604068,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/20|buy=1.00|sell=1.05|vol_on|tv=0.18,-0.06350644981804104
399006.SZ,创业板指,5,250,14,20,1.0,1.05,-0.06338624583465835,-0.06570740251531348,1,0.41733100543579327,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.00|sell=1.05|vol_on|tv=0.20,-0.9646743503501881
000852.SH,中证1000,5,250,14,20,1.0,1.05,-0.0417176566079025,-0.2748103588161731,7,5.637138013397599,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.00|sell=1.05|vol_on|tv=0.20,-0.15180525504065293
932000.SH,中证2000,5,250,14,20,1.0,1.05,-0.027429400275641447,-0.4389818375814427,9,6.564623445647634,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.00|sell=1.05|vol_on|tv=0.20,-0.06248413471218515
399006.SZ,创业板指,5,250,14,20,1.0,1.1,-0.0670185416525182,-0.060411755850752424,1,0.3755979048922139,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/20|buy=1.00|sell=1.10|vol_on|tv=0.18,-1.1093625852903177
000852.SH,中证1000,5,250,14,20,1.0,1.1,-0.041559512914915775,-0.2684765022075096,7,4.41620282770867,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/20|buy=1.00|sell=1.10|vol_on|tv=0.18,-0.15479758032155003
932000.SH,中证2000,5,250,14,20,1.0,1.1,-0.027777240069045916,-0.43739242468494755,9,6.215118863604068,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/20|buy=1.00|sell=1.10|vol_on|tv=0.18,-0.06350644981804104
399006.SZ,创业板指,5,250,14,20,1.0,1.1,-0.06338624583465835,-0.06570740251531348,1,0.41733100543579327,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.00|sell=1.10|vol_on|tv=0.20,-0.9646743503501881
