date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,param_source,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2020-01-02,000016.SH,3073.93,3107.52,3073.93,3090.83,50036392.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.117883590599601,0.0,-0.03882591332837726,1.0,-39.00000072817288,,0.3833361181804932,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0
2020-01-03,000016.SH,3097.25,3097.41,3072.11,3078.28,37185493.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.019001138493229,-0.004060398016066835,-0.03517786301225667,1.0,-40.00000072817288,,0.3833361181804932,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9959396019839332,0.0,-0.004060398016066835,0.004060398016066835,False,1.0,0.0
2020-01-06,000016.SH,3062.28,3090.84,3040.19,3056.84,47707827.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.081392696811432,-0.010997046100885477,-0.03517786301225667,1.0,-41.00000072817288,,0.3833361181804932,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9890029538991145,0.0,-0.006964928466546283,0.006964928466546283,False,1.0,0.0
2020-01-07,000016.SH,3063.75,3080.27,3061.56,3074.02,34371788.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.9922203985860283,-0.0054386685776959265,-0.03387851235863404,1.0,-42.00000072817288,,0.3833361181804932,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9945613314223041,0.0,0.005620182934010121,-0.005620182934010121,False,1.0,0.0
2020-01-08,000016.SH,3058.36,3058.7,3030.1,3037.85,37653773.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.044475851172874,-0.017141026843922158,-0.03353311534944314,1.0,-43.00000072817288,,0.3833361181804932,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9828589731560778,0.0,-0.011766351552690013,0.011766351552690013,False,1.0,0.0
2020-01-09,000016.SH,3060.77,3071.54,3055.99,3067.55,33150515.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.0759100974550444,-0.007531957435381376,-0.03353311534944314,1.0,-44.00000072817288,,0.3833361181804932,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9924680425646186,0.0,0.009776651250061885,-0.009776651250061885,False,1.0,0.0
2020-01-10,000016.SH,3079.08,3081.96,3058.16,3067.88,28542389.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.0749913658994308,-0.007425189997508741,-0.018335646945045747,1.0,-45.00000072817288,,0.3833361181804932,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9925748100024913,0.0,0.0001075777085948193,-0.0001075777085948193,False,1.0,0.0
2020-01-13,000016.SH,3069.68,3090.13,3054.88,3090.13,29330835.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.0503001070540572,-0.00022647638336625864,-0.018335646945045747,1.0,-46.00000072817288,,0.3833361181804932,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9997735236166337,0.0,0.00725256528938556,-0.00725256528938556,False,1.0,0.0
2020-01-14,000016.SH,3097.73,3108.18,3078.46,3080.6,35129017.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.0808225216896183,-0.0033097905740528955,-0.018335646945045747,1.0,-47.00000072817288,,0.3833361181804932,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9966902094259471,0.0,-0.0030840126467172047,0.0030840126467172047,False,1.0,0.0
2020-01-15,000016.SH,3078.25,3086.97,3052.7,3058.01,28116086.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1142077274548927,-0.010618507002973177,-0.018335646945045747,1.0,-48.00000072817288,,0.3833361181804932,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9893814929970268,0.0,-0.007332987080438724,0.007332987080438724,False,1.0,0.0
2020-01-16,000016.SH,3067.95,3068.2,3039.07,3043.09,28312318.0,none,0.0,无信号,hold,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.121552226872883,-0.015445689345580216,-0.018335646945045747,1.0,-49.00000072817288,,0.3833361181804932,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9845543106544198,0.0,-0.0048789899313606,0.0048789899313606,False,1.0,0.0
2020-01-17,000016.SH,3054.04,3067.56,3042.59,3053.17,23304514.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.097665053088585,-0.01218442942510578,-0.018335646945045747,1.0,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9878155705748942,0.0,0.0033124225704792565,-0.0033124225704792565,False,1.0,0.0
2020-01-20,000016.SH,3070.67,3072.29,3054.45,3065.99,27274849.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.0126076183922452,-0.00803667623259774,-0.018335646945045747,1.0,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9919633237674023,0.0,0.004198914570757495,-0.004198914570757495,False,1.0,0.0
2020-01-21,000016.SH,3048.95,3050.82,3011.18,3012.11,32801291.0,none,0.0,无信号,hold,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0903437697527083,-0.02546888699799077,-0.02546888699799077,1.0,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9745311130020092,0.0,-0.017573442835756015,0.017573442835756015,False,1.0,0.0
2020-01-22,000016.SH,2996.81,3023.9,2965.66,3017.88,33159760.0,none,0.0,无信号,hold,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.1218998087871763,-0.02360207452367158,-0.02546888699799077,1.0,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9763979254763284,0.0,0.0019156006918736868,-0.0019156006918736868,False,1.0,0.0
2020-01-23,000016.SH,2993.77,2993.77,2910.39,2932.49,42839352.0,none,0.0,无信号,hold,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.3062229540841734,-0.05122895791745263,-0.05122895791745263,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9487710420825474,0.0,-0.028294696939573538,0.028294696939573538,False,1.0,0.0
2020-02-03,000016.SH,2676.01,2755.84,2676.01,2727.09,58609184.0,none,0.0,无信号,hold,0.0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1.7561694736503892,-0.11768359955092966,-0.11768359955092966,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.8823164004490703,0.0,-0.0700428645962986,0.0700428645962986,False,1.0,0.0
2020-02-04,000016.SH,2724.13,2796.71,2724.13,2794.66,57016369.0,none,0.0,无信号,hold,0.0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,1.8404545987897483,-0.09582215780227321,-0.11768359955092966,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9041778421977268,0.0,0.024777326747558615,-0.024777326747558615,False,1.0,0.0
2020-02-05,000016.SH,2803.74,2833.21,2782.42,2812.9,44182070.0,none,0.0,无信号,hold,0.0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,1.8293624638545922,-0.08992083032712894,-0.11768359955092966,0.5,,,0.0,0.0,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9100791696728711,0.0,0.006526733126748896,-0.006526733126748896,False,1.0,0.0
