date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,param_source
2020-01-02,000905.SH,5306.67,5374.91,5288.17,5366.14,145894405.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1428883702082366,0.0,-0.056210173536038965,1.0,,-41.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-03,000905.SH,5376.03,5395.26,5351.81,5380.64,128452021.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1142423940084372,0.0,-0.04805774148563868,1.0,,-42.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-06,000905.SH,5365.22,5481.55,5355.02,5434.85,159587414.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1521739367615758,0.0,-0.04539515536136707,0.5,,-43.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-07,000905.SH,5441.9,5499.84,5440.69,5499.84,144142722.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1181545982768397,0.0,-0.04539515536136707,1.0,,-44.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-08,000905.SH,5481.98,5500.16,5409.57,5423.8,155406847.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1674012457971947,-0.013825856752196386,-0.04539515536136707,0.5,,-45.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-09,000905.SH,5465.86,5497.54,5457.35,5497.54,132431667.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.2041945177988413,-0.0004181939838250326,-0.04539515536136707,0.5,,-46.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-10,000905.SH,5511.67,5516.1,5455.25,5480.23,113819821.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1870592246497604,-0.0035655582707861955,-0.03364544010483139,0.5,,-47.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-13,000905.SH,5478.32,5559.63,5447.73,5559.63,118076181.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1895723392931092,0.0,-0.030026288980376625,0.5,,-48.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-14,000905.SH,5576.63,5583.72,5539.9,5542.33,129811383.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1493474985779641,-0.0031117178661169698,-0.030026288980376625,1.0,,-49.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-15,000905.SH,5532.96,5545.1,5492.65,5530.03,112425020.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.159530987982686,-0.005324095308500865,-0.030026288980376625,0.5,,-50.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-16,000905.SH,5539.42,5559.02,5514.69,5527.67,111897276.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1533633694417804,-0.0057485839885028645,-0.030026288980376625,0.5,,-51.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-17,000905.SH,5539.72,5555.41,5499.47,5510.05,104949329.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.128293160902767,-0.008917859641738746,-0.030026288980376625,1.0,,-52.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-20,000905.SH,5523.01,5587.54,5500.59,5587.54,115403001.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.0884772688935873,0.0,-0.030026288980376625,1.0,,-53.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-21,000905.SH,5581.01,5581.98,5515.19,5523.94,124604808.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1201892485033722,-0.011382468850334893,-0.01519915142681627,1.0,,-54.00005631883415,0.0,0.7261015171187134,optimal_yaml
2020-01-22,000905.SH,5502.59,5597.99,5440.2,5575.51,123474770.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1721528408072628,-0.002153004721218932,-0.013825856752196386,0.5,,-55.00005631883415,0.0,0.7261015171187134,optimal_yaml
