date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,param_source
2020-01-02,399001.SZ,10509.12,10663.56,10479.77,10638.82,393257468.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1596078840953397,0.0,-0.02424017783763499,0.5,,-31.000002273285183,0.0,0.610469059742057,optimal_yaml
2020-01-03,399001.SZ,10666.66,10689.59,10594.36,10656.41,374182701.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1120277417535083,0.0,-0.02424017783763499,1.0,,-32.00000227328518,0.0,0.610469059742057,optimal_yaml
2020-01-06,399001.SZ,10599.41,10799.58,10577.78,10698.27,439641646.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.151445939132396,0.0,-0.02424017783763499,0.5,,-33.00000227328518,0.0,0.610469059742057,optimal_yaml
2020-01-07,399001.SZ,10725.18,10829.05,10723.86,10829.05,414499627.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1103276835547782,0.0,-0.02424017783763499,1.0,,-34.00000227328518,0.0,0.610469059742057,optimal_yaml
2020-01-08,399001.SZ,10776.71,10851.28,10681.03,10706.87,462506909.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1516205149325032,-0.011282614818474257,-0.02424017783763499,0.5,,-35.00000227328518,0.0,0.610469059742057,optimal_yaml
2020-01-09,399001.SZ,10807.04,10899.48,10807.04,10898.17,396591114.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.2251502346911585,0.0,-0.02424017783763499,0.5,,-36.00000227328518,0.0,0.610469059742057,optimal_yaml
2020-01-10,399001.SZ,10927.98,10933.81,10833.52,10879.84,355689713.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.2150653479505664,-0.0016819337558507952,-0.02424017783763499,0.5,,-37.00000227328518,0.0,0.610469059742057,optimal_yaml
2020-01-13,399001.SZ,10894.0,11040.2,10851.72,11040.2,345273662.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.2074408659228422,0.0,-0.02424017783763499,0.5,,-38.00000227328518,0.0,0.610469059742057,optimal_yaml
2020-01-14,399001.SZ,11074.89,11086.81,10983.42,10988.77,377298121.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1878095484035593,-0.004658430100903943,-0.02424017783763499,0.5,,-39.00000227328518,0.0,0.610469059742057,optimal_yaml
2020-01-15,399001.SZ,10978.28,11001.81,10882.79,10972.32,331233272.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.2040825391639745,-0.0061484393398670845,-0.02424017783763499,0.5,,-40.00000227328518,0.0,0.610469059742057,optimal_yaml
