date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2023-01-03,000001.SH,3087.51,3119.86,3073.05,3116.51,281370362.0,negative_bubble,0.6711711392318218,强抄底信号 (Strong Buy),buy,1.0,default_cli,1.0,0.0,323.62664079732343,1008585.6623112665,1008585.6623112665,1.0085856623112666,1.0,0.0,0.0,0.0,True,1.0085856623112666,0.0
2023-01-04,000001.SH,3117.57,3129.09,3109.45,3123.52,273313626.0,none,0.0,无信号,hold,1.0,default_cli,1.0,0.0,323.62664079732343,1010854.2850632557,1010854.2850632557,1.0108542850632556,1.002249310927929,0.0022493109279289047,0.0022493109279289047,0.0,False,1.0108542850632556,0.0
2023-01-05,000001.SH,3132.76,3159.43,3130.23,3155.22,257003018.0,none,0.0,无信号,hold,1.0,default_cli,1.0,0.0,323.62664079732343,1021113.2495765308,1021113.2495765308,1.0211132495765307,1.0124209452239843,0.010148806474746364,0.010148806474746364,0.0,False,1.0211132495765307,0.0
2023-01-06,000001.SH,3155.07,3170.74,3151.84,3157.64,257380255.0,none,0.0,无信号,hold,1.0,default_cli,1.0,0.0,323.62664079732343,1021896.4260472603,1021896.4260472603,1.0218964260472603,1.0131974548453238,0.000766982967907115,0.000766982967907115,0.0,False,1.0218964260472603,0.0
2023-01-09,000001.SH,3169.37,3183.58,3165.43,3176.08,258115218.0,none,0.0,无信号,hold,1.0,default_cli,1.0,0.0,323.62664079732343,1027864.101303563,1027864.101303563,1.027864101303563,1.019114329811231,0.00583980441088916,0.00583980441088916,0.0,False,1.027864101303563,0.0
2023-01-10,000001.SH,3178.02,3178.16,3165.14,3169.51,232984175.0,negative_bubble,0.6102520213800927,强抄底信号 (Strong Buy),hold,1.0,default_cli,1.0,0.0,323.62664079732343,1025737.8742735246,1025737.8742735246,1.0257378742735246,1.0170062024508184,-0.0020685876930052194,-0.0020685876930051084,-1.1102230246251565e-16,False,1.027864101303563,-0.0020685876930052194
2023-01-11,000001.SH,3172.38,3184.76,3160.89,3161.84,237742869.0,none,0.0,无信号,hold,1.0,default_cli,1.0,0.0,323.62664079732343,1023255.6579386091,1023255.6579386091,1.0232556579386092,1.014545116171615,-0.002419932418575743,-0.002419932418575743,0.0,False,1.027864101303563,-0.004483514269161937
2023-01-12,000001.SH,3167.27,3171.59,3153.4,3163.45,216671305.0,none,0.0,无信号,hold,1.0,default_cli,1.0,0.0,323.62664079732343,1023776.6968302927,1023776.6968302927,1.0237766968302926,1.0150617196800267,0.0005091971763275804,0.0005091971763275804,0.0,False,1.027864101303563,-0.0039766000856403805
2023-01-13,000001.SH,3170.35,3195.31,3167.51,3195.31,220226897.0,none,0.0,无信号,hold,1.0,default_cli,1.0,0.0,323.62664079732343,1034087.4416060955,1034087.4416060955,1.0340874416060954,1.025284693455179,0.010071282934770664,0.010071282934770664,0.0,False,1.0340874416060954,0.0
2023-01-16,000001.SH,3198.52,3251.37,3197.32,3227.59,306749549.0,none,0.0,无信号,hold,1.0,default_cli,1.0,0.0,323.62664079732343,1044534.1095710332,1044534.1095710332,1.0445341095710332,1.0356424333629604,0.0101023061925134,0.0101023061925134,0.0,False,1.0445341095710332,0.0
