date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source
2023-01-03,000001.SH,3087.51,3119.86,3073.05,3116.51,281370362.0,negative_bubble,0.6711711392318218,强抄底信号 (Strong Buy),buy,1.0,default_cli
2023-01-04,000001.SH,3117.57,3129.09,3109.45,3123.52,273313626.0,none,0.0,无信号,hold,1.0,default_cli
2023-01-05,000001.SH,3132.76,3159.43,3130.23,3155.22,257003018.0,none,0.0,无信号,hold,1.0,default_cli
2023-01-06,000001.SH,3155.07,3170.74,3151.84,3157.64,257380255.0,none,0.0,无信号,hold,1.0,default_cli
2023-01-09,000001.SH,3169.37,3183.58,3165.43,3176.08,258115218.0,none,0.0,无信号,hold,1.0,default_cli
2023-01-10,000001.SH,3178.02,3178.16,3165.14,3169.51,232984175.0,negative_bubble,0.6102520213800927,强抄底信号 (Strong Buy),hold,1.0,default_cli
2023-01-11,000001.SH,3172.38,3184.76,3160.89,3161.84,237742869.0,none,0.0,无信号,hold,1.0,default_cli
2023-01-12,000001.SH,3167.27,3171.59,3153.4,3163.45,216671305.0,none,0.0,无信号,hold,1.0,default_cli
2023-01-13,000001.SH,3170.35,3195.31,3167.51,3195.31,220226897.0,none,0.0,无信号,hold,1.0,default_cli
2023-01-16,000001.SH,3198.52,3251.37,3197.32,3227.59,306749549.0,none,0.0,无信号,hold,1.0,default_cli
2023-01-17,000001.SH,3229.44,3231.26,3211.76,3224.24,226592230.0,negative_bubble,0.6041245176500483,强抄底信号 (Strong Buy),hold,1.0,default_cli
2023-01-18,000001.SH,3227.59,3234.82,3220.37,3224.41,212109730.0,none,0.0,无信号,hold,1.0,default_cli
2023-01-19,000001.SH,3221.52,3240.28,3210.38,3240.28,226465030.0,none,0.0,无信号,hold,1.0,default_cli
2023-01-20,000001.SH,3247.2,3267.06,3247.2,3264.81,273219182.0,none,0.0,无信号,hold,1.0,default_cli
2023-01-30,000001.SH,3308.87,3310.49,3266.76,3269.32,353325829.0,none,0.0,无信号,hold,1.0,default_cli
2023-01-31,000001.SH,3266.14,3277.25,3252.01,3255.67,300162957.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-01,000001.SH,3262.2,3284.92,3245.41,3284.92,339509410.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-02,000001.SH,3291.78,3295.76,3272.41,3285.67,333413133.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-03,000001.SH,3275.66,3275.66,3235.35,3263.41,293342814.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-06,000001.SH,3244.7,3250.35,3226.21,3238.7,267053107.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-07,000001.SH,3245.23,3250.03,3233.83,3248.09,250946450.0,negative_bubble,0.617748787597839,强抄底信号 (Strong Buy),hold,1.0,default_cli
2023-02-08,000001.SH,3251.5,3257.11,3230.44,3232.11,234530481.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-09,000001.SH,3227.73,3270.38,3225.77,3270.38,254754529.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-10,000001.SH,3266.44,3269.99,3247.23,3260.67,260626926.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-13,000001.SH,3256.99,3285.09,3252.63,3284.16,297213188.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-14,000001.SH,3288.97,3293.73,3279.19,3293.28,270974168.0,negative_bubble,0.6639513290666799,强抄底信号 (Strong Buy),hold,1.0,default_cli
2023-02-15,000001.SH,3294.02,3296.2,3274.55,3280.49,269939123.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-16,000001.SH,3281.74,3308.83,3231.34,3249.03,380863545.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-17,000001.SH,3244.73,3262.47,3223.26,3224.02,278451237.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-20,000001.SH,3230.47,3291.04,3225.84,3290.34,325007733.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-21,000001.SH,3291.63,3308.79,3282.44,3306.52,324409449.0,negative_bubble,0.5877995422902775,强抄底信号 (Strong Buy),hold,1.0,default_cli
2023-02-22,000001.SH,3292.05,3307.03,3286.72,3291.15,255403985.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-23,000001.SH,3293.52,3307.44,3275.36,3287.48,262324304.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-24,000001.SH,3287.26,3288.39,3253.97,3267.16,234206306.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-27,000001.SH,3257.0,3276.58,3251.72,3258.03,242855344.0,none,0.0,无信号,hold,1.0,default_cli
2023-02-28,000001.SH,3265.74,3280.42,3246.14,3279.61,251625032.0,negative_bubble,0.5970008550954886,强抄底信号 (Strong Buy),hold,1.0,default_cli
2023-03-01,000001.SH,3279.14,3315.16,3272.04,3312.35,318398704.0,none,0.0,无信号,hold,1.0,default_cli
2023-03-02,000001.SH,3308.01,3320.74,3306.46,3310.65,328520016.0,none,0.0,无信号,hold,1.0,default_cli
2023-03-03,000001.SH,3314.77,3330.6,3302.62,3328.39,343996919.0,none,0.0,无信号,hold,1.0,default_cli
2023-03-06,000001.SH,3332.02,3333.06,3308.73,3322.03,340530446.0,none,0.0,无信号,hold,1.0,default_cli
2023-03-07,000001.SH,3320.21,3342.86,3284.41,3285.1,389957956.0,negative_bubble,0.7324286567783899,强抄底信号 (Strong Buy),hold,1.0,default_cli
2023-03-08,000001.SH,3271.88,3283.25,3263.69,3283.25,260443547.0,none,0.0,无信号,hold,1.0,default_cli
2023-03-09,000001.SH,3285.94,3289.06,3260.0,3276.09,264021859.0,none,0.0,无信号,hold,1.0,default_cli
2023-03-10,000001.SH,3255.51,3262.15,3229.5,3230.08,281135410.0,none,0.0,无信号,hold,1.0,default_cli
2023-03-13,000001.SH,3228.12,3268.7,3228.12,3268.7,294928087.0,none,0.0,无信号,hold,1.0,default_cli
2023-03-14,000001.SH,3261.92,3262.0,3216.99,3245.31,319906033.0,negative_bubble,0.6120345221930908,强抄底信号 (Strong Buy),hold,1.0,default_cli
