date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source
2025-04-30,000001.SH,3284.08,3292.2,3277.55,3279.03,435794335.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-06,000001.SH,3295.25,3316.45,3286.99,3316.11,474369617.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-07,000001.SH,3354.97,3356.69,3324.81,3342.67,511159606.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-08,000001.SH,3331.21,3359.73,3327.9,3352.0,428377766.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-09,000001.SH,3350.41,3351.22,3335.13,3342.0,398909191.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-12,000001.SH,3352.97,3372.47,3344.27,3369.24,418239910.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-13,000001.SH,3386.23,3386.23,3370.25,3374.87,426240700.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-14,000001.SH,3374.24,3417.31,3368.08,3403.95,464934441.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-15,000001.SH,3398.43,3402.87,3378.02,3380.82,424100916.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-16,000001.SH,3374.71,3380.29,3356.66,3367.46,395401030.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-19,000001.SH,3365.88,3373.6,3356.65,3367.58,403074805.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-20,000001.SH,3371.69,3387.8,3369.96,3380.48,405544534.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-21,000001.SH,3380.21,3394.75,3380.21,3387.57,412496165.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-22,000001.SH,3381.87,3390.59,3376.23,3380.19,394217206.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-23,000001.SH,3376.87,3389.47,3348.37,3348.37,400227004.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-26,000001.SH,3346.56,3362.31,3336.36,3346.84,347562101.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-27,000001.SH,3346.5,3351.57,3332.49,3340.69,344071157.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-28,000001.SH,3341.85,3348.23,3336.73,3339.93,341555443.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-29,000001.SH,3340.4,3368.63,3337.42,3363.45,393233806.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-30,000001.SH,3358.81,3361.28,3341.65,3347.49,385602170.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-03,000001.SH,3340.07,3367.0,3340.07,3361.98,398060772.0,none,0.0,无信号,hold,0.0,default_cli
