symbol,name,window_id,signal_date,market_env,label_desc,lppl_m,lppl_w,lppl_rmse,lppl_r2,lppl_dtc,lppl_valid,lppl_bottom,lppl_top,wy_phase,wy_direction,wy_confidence,wy_signal,wy_bc,wy_spring,wy_rr,combined_score,signal_label,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
601728.SH,中国电信,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,accumulation,空仓观望,C,sos_candidate,True,False,0.17,30.0,watch,85.24,91.09,1.53,13.57,71.67
600273.SH,嘉化能源,1,2012-12-04,bear_bottom,2012熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,5.07,34.5,4.48,14.92,-9.85
600273.SH,嘉化能源,2,2013-06-25,bear_bottom,2013钱荒底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.57,15.0,neutral,39.18,69.59,5.51,8.09,31.09
600273.SH,嘉化能源,3,2014-07-22,bull_start,2014牛市启动,0.0,0.0,1.0,0.0,0.0,False,False,False,markup,持有观察,C,markup,True,False,0.01,5.0,neutral,-8.21,14.45,14.35,35.34,-43.55
600273.SH,嘉化能源,4,2015-08-26,crash_bottom,2015股灾底,0.3529,6.0,0.106382,0.6671,99.75,False,False,False,markdown,空仓观望,B,markdown,True,False,22.5,18.0,neutral,-7.19,47.21,8.3,5.51,-12.7
600273.SH,嘉化能源,5,2016-01-27,crash_bottom,2016熔断底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,1.39,15.0,neutral,12.2,30.92,4.96,4.97,7.23
600273.SH,嘉化能源,6,2018-10-19,bear_bottom,2018熊底,0.5603,10.1859,0.040303,0.6705,11.99,True,False,False,markup,持有观察,C,markup,True,False,0.29,15.0,neutral,7.24,10.01,14.7,21.72,-14.48
600273.SH,嘉化能源,7,2019-01-04,rebound_start,2019春季反弹启动,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,24.97,105.38,3.21,18.05,6.92
600273.SH,嘉化能源,8,2020-03-23,event_bottom,2020疫情底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,D,markdown,True,False,1.12,14.0,neutral,49.1,51.69,6.09,35.28,13.82
600273.SH,嘉化能源,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,accumulation,观察等待,C,spring,True,True,2.18,43.0,buy,23.64,70.59,-1.5,6.19,17.45
600273.SH,嘉化能源,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,2.05,15.0,neutral,1.42,7.46,2.6,13.57,-12.15
688350.SH,富淼科技,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,30.88,34.16,6.56,13.57,17.31
