date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus
2020-01-02,000016.SH,3073.93,3107.52,3073.93,3090.83,50036392.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1585211799695527,0.0,-0.03882591332837726,1.0,,,0.0,0.6097507409281656
2020-01-03,000016.SH,3097.25,3097.41,3072.11,3078.28,37185493.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0538701688128074,-0.004060398016066835,-0.03517786301225667,1.0,,,0.0,0.0
2020-01-06,000016.SH,3062.28,3090.84,3040.19,3056.84,47707827.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1161161042752483,-0.010997046100885477,-0.03517786301225667,1.0,,,0.0,0.0
2020-01-07,000016.SH,3063.75,3080.27,3061.56,3074.02,34371788.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.024054445738968,-0.0054386685776959265,-0.03387851235863404,1.0,,,0.0,0.0
2020-01-08,000016.SH,3058.36,3058.7,3030.1,3037.85,37653773.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0776179979168756,-0.017141026843922158,-0.03353311534944314,1.0,,,0.0,0.0
2020-01-09,000016.SH,3060.77,3071.54,3055.99,3067.55,33150515.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1078531053109568,-0.007531957435381376,-0.03353311534944314,1.0,,,0.0,0.0
2020-01-10,000016.SH,3079.08,3081.96,3058.16,3067.88,28542389.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1031596725829074,-0.007425189997508741,-0.018335646945045747,1.0,,,0.0,0.6696286271417833
2020-01-13,000016.SH,3069.68,3090.13,3054.88,3090.13,29330835.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0736372076002405,-0.00022647638336625864,-0.018335646945045747,1.0,,,0.0,0.6696286271417833
2020-01-14,000016.SH,3097.73,3108.18,3078.46,3080.6,35129017.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1017112285072534,-0.0033097905740528955,-0.018335646945045747,1.0,,,0.0,0.6696286271417833
2020-01-15,000016.SH,3078.25,3086.97,3052.7,3058.01,28116086.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.132003931622437,-0.010618507002973177,-0.018335646945045747,1.0,,,0.0,0.6696286271417833
2020-01-16,000016.SH,3067.95,3068.2,3039.07,3043.09,28312318.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1367257515524127,-0.015445689345580216,-0.018335646945045747,1.0,,,0.0,0.6696286271417833
2020-01-17,000016.SH,3054.04,3067.56,3042.59,3053.17,23304514.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1076510958241108,-0.01218442942510578,-0.018335646945045747,1.0,,,0.0,0.0
2020-01-20,000016.SH,3070.67,3072.29,3054.45,3065.99,27274849.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0200009642378134,-0.00803667623259774,-0.018335646945045747,1.0,,,0.0,0.0
2020-01-21,000016.SH,3048.95,3050.82,3011.18,3012.11,32801291.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0951034368039458,-0.02546888699799077,-0.02546888699799077,1.0,,,0.0,0.0
