date,symbol,trade_type,price,target_position,executed_position,units,cash_after_trade,portfolio_value_after_trade
2020-05-13,399006.SZ,buy,2121.070005,1.0,1.0000000000000002,471.31876251911274,-1.1641532182693481e-10,999200.4897281441
2020-07-23,399006.SZ,reduce,2739.039795,0.5,0.5052982213256155,235.77726989450366,645609.5840000017,1291089.8458034066
2020-08-03,399006.SZ,sell,2829.934325,0.0,0.0,235.54149262460908,1311976.5688536353,1311976.5688536353
2021-03-11,399006.SZ,buy,2684.2914749999995,0.5,0.505809672503355,244.38042237079256,655791.4879414897,1311451.9421412074
2021-05-10,399006.SZ,add,2921.88021,1.0,1.0,224.37429407779868,0.0,1368960.649010795
2022-01-05,399006.SZ,reduce,3240.81878,0.5,0.4936311690988135,234.49460552705915,759726.5350443649,1519300.8891007775
2022-06-17,399006.SZ,add,2562.6807,1.0,1.0,296.3688318403199,0.0,1359152.9739902075
2025-04-08,399006.SZ,reduce,1836.62123,0.5,0.5003264961617424,265.44719497841515,487379.6959551843,974661.7647771607
2025-06-10,399006.SZ,add,2058.9989849999997,1.0,1.0,236.6361175731299,0.0,1032726.1123678535
2025-09-08,399006.SZ,reduce,2962.947785,0.5,0.4973065065309507,251.034449903235,743578.8267092936,1487008.7069816138
2025-09-10,399006.SZ,sell,2888.604975,0.0,0.0,250.7834154533317,1467775.7239688216,1467775.7239688216
2025-12-24,399006.SZ,buy,3209.013705,1.0,1.0,457.25436479923917,0.0,1466602.2222007276
2025-12-30,399006.SZ,reduce,3206.7158400000003,0.5,0.5026300320604226,228.74155317620767,733289.1090877966,1466431.3328742012
