symbol,state,count
000001.SH,bubble_risk,5
000001.SH,bubble_warning,20
000001.SH,bubble_watch,70
000001.SH,none,1414
000016.SH,bubble_warning,20
000016.SH,bubble_watch,50
000016.SH,none,1439
000300.SH,bubble_warning,20
000300.SH,bubble_watch,55
000300.SH,none,1434
000852.SH,bubble_risk,5
000852.SH,bubble_warning,55
000852.SH,bubble_watch,80
000852.SH,none,1369
000905.SH,bubble_risk,5
000905.SH,bubble_warning,35
000905.SH,bubble_watch,105
000905.SH,none,1364
399001.SZ,bubble_warning,20
399001.SZ,bubble_watch,75
399001.SZ,none,1414
399006.SZ,bubble_risk,35
399006.SZ,bubble_warning,15
399006.SZ,bubble_watch,100
399006.SZ,none,1359
932000.SH,bubble_risk,20
932000.SH,bubble_warning,55
932000.SH,bubble_watch,105
932000.SH,none,1329
