symbol,symbol_name,fast_ma,slow_ma,atr_config,total_return,benchmark_return,annualized_return,annualized_benchmark,annualized_excess_return,max_drawdown,trade_count,holding_ratio,eligible
000001.SH,上证综指,5,10,标准ATR,0.2084401350886942,0.36083951098068123,0.03256137028127859,0.05352689954135159,-0.020965529260073,-0.23519020895632825,21,0.9623908663532572,False
399001.SZ,深证成指,5,10,标准ATR,0.0,0.2967351612158451,0.0,0.0449585796445664,-0.0449585796445664,0.0,0,0.974479516453996,False
399006.SZ,创业板指,5,10,标准ATR,0.7472574819828532,0.6350233158051395,0.09904822751556841,0.08676846649072556,0.01227976102484285,-0.3078471509131858,16,0.9496306245802552,True
000016.SH,上证50,5,10,标准ATR,-0.0025476999318494453,-0.0050496018178567414,-0.00043163255001021916,-0.0008563982414463434,0.0004247656914361242,-0.344897939120239,19,0.9503022162525184,True
000300.SH,沪深300,5,10,标准ATR,0.07638850100324901,0.15454361299222796,0.012536009249027424,0.02461897701270166,-0.012082967763674235,-0.3403126228434018,28,0.9610476830087307,False
000905.SH,中证500,5,10,标准ATR,0.22875025831375084,0.45251584369556075,0.03547810905313442,0.06521559503868479,-0.02973748598555037,-0.26214310143166153,1,0.9717931497649429,False
000852.SH,中证1000,5,10,标准ATR,0.12332135950565082,0.3873325453112686,0.01987596119837809,0.05697033130590623,-0.03709437010752814,-0.345890658409851,5,0.9361987911349899,False
932000.SH,中证2000,5,10,标准ATR,0.5553250502760019,0.8093653958427425,0.07761598651236334,0.10556436346807363,-0.027948376955710286,-0.26961582527669004,42,0.9348556077904634,False
000001.SH,上证综指,5,10,长窗口ATR,0.09235659088575288,0.28973705804231975,0.015269260211568048,0.04461427037618493,-0.02934501016461688,-0.24267486067198352,30,0.9019741320626277,False
399001.SZ,深证成指,5,10,长窗口ATR,0.31043011803104825,0.18799825949121218,0.04747048187724556,0.029993057153837377,0.017477424723408186,-0.17840197719165485,2,0.9326072157930565,False
399006.SZ,创业板指,5,10,长窗口ATR,0.7362358499159996,0.5029503771193011,0.09926839603756377,0.07239311275556881,0.026875283281994955,-0.3447315709996729,29,0.9108236895847516,True
000016.SH,上证50,5,10,长窗口ATR,0.04115207045925229,-0.043010897758050226,0.006942038614881962,-0.007513324632236529,0.014455363247118491,-0.28648380730117295,24,0.9074200136147039,True
000300.SH,沪深300,5,10,长窗口ATR,0.1544571727097106,0.08796885835723467,0.024945141222152634,0.014568516085060601,0.010376625137092033,-0.2578781181182319,28,0.9189925119128659,True
000905.SH,中证500,5,10,长窗口ATR,0.3747575832068495,0.34243545124274366,0.056117010244063126,0.051815362855263114,0.004301647388800012,-0.24471712887061303,9,0.9462219196732471,True
000852.SH,中证1000,5,10,长窗口ATR,0.10387955163575402,0.23020960052344552,0.017098497128316792,0.03618068123075746,-0.01908218410244067,-0.3474637381431246,3,0.9598366235534377,False
932000.SH,中证2000,5,10,长窗口ATR,0.5220900129204007,0.5888259077982627,0.07472357735068469,0.08266398506961314,-0.007940407718928455,-0.2697078639898718,32,0.8543226684819605,False
000001.SH,上证综指,5,10,短周期ATR,0.2288203482517992,0.36083951098068123,0.03548810510564904,0.05352689954135159,-0.018038794435702554,-0.2262466816366122,30,0.9281396910678308,False
399001.SZ,深证成指,5,10,短周期ATR,0.0,0.2967351612158451,0.0,0.0449585796445664,-0.0449585796445664,0.0,0,0.9408999328408327,False
399006.SZ,创业板指,5,10,短周期ATR,0.4120306303359569,0.6350233158051395,0.0601316086245387,0.08676846649072556,-0.026636857866186858,-0.3882358676421902,20,0.9456010745466756,False
000016.SH,上证50,5,10,短周期ATR,-0.0514166835662474,-0.0050496018178567414,-0.00889371692839469,-0.0008563982414463434,-0.008037318686948347,-0.35664864611522307,26,0.916051040967092,False
000300.SH,沪深300,5,10,短周期ATR,0.14000847522864945,0.15454361299222796,0.02242435488830452,0.02461897701270166,-0.0021946221243971387,-0.34065013951603595,19,0.9758226997985225,False
000905.SH,中证500,5,10,短周期ATR,0.13095577232264777,0.45251584369556075,0.02104573565279977,0.06521559503868479,-0.044169859385885024,-0.24585022719344563,11,0.8206850235057085,False
000852.SH,中证1000,5,10,短周期ATR,-0.10225166312864742,0.3873325453112686,-0.018089657545244164,0.05697033130590623,-0.0750599888511504,-0.3534857953046354,5,0.8831430490261921,False
932000.SH,中证2000,5,10,短周期ATR,0.3963635005539534,0.8093653958427425,0.05813164757983147,0.10556436346807363,-0.04743271588824216,-0.32807608332642557,25,0.9717931497649429,False
000001.SH,上证综指,5,10,长周期ATR,0.16135016532020185,0.28973705804231975,0.025992360921990754,0.04461427037618493,-0.018621909454194174,-0.21346094844264774,32,0.8897208985704561,False
399001.SZ,深证成指,5,10,长周期ATR,0.11021638717494908,0.18799825949121218,0.018097719578812788,0.029993057153837377,-0.01189533757502459,-0.17629732863143122,2,0.9169503063308373,False
399006.SZ,创业板指,5,10,长周期ATR,0.6451780505366975,0.5029503771193011,0.08915653398998669,0.07239311275556881,0.016763421234417875,-0.37136383167494524,27,0.9121851599727706,False
000016.SH,上证50,5,10,长周期ATR,-0.03049313283250299,-0.043010897758050226,-0.0052982803835914805,-0.007513324632236529,0.0022150442486450483,-0.33371324434112837,29,0.8713410483321987,True
000300.SH,沪深300,5,10,长周期ATR,0.1392777624456032,0.08796885835723467,0.022620615126064614,0.014568516085060601,0.008052099041004013,-0.2669926951329198,28,0.8468345813478557,True
000905.SH,中证500,5,10,长周期ATR,0.30611677728234943,0.34243545124274366,0.04687822056539903,0.051815362855263114,-0.004937142289864083,-0.2437197095277579,12,0.9046970728386657,False
000852.SH,中证1000,5,10,长周期ATR,0.23972925520715016,0.23020960052344552,0.03755177939958365,0.03618068123075746,0.0013710981688261903,-0.30238243977196066,10,0.9319264805990469,True
