symbol,symbol_name,fast_ma,slow_ma,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,annualized_excess_return,max_drawdown,trade_count,turnover_rate,whipsaw_rate,enable_volatility_scaling,target_volatility,eligible
000300.SH,沪深300,5,30,14,40,1.05,1.15,0.049698052785507096,-0.24881703723822168,26,17.31880301667148,0.0,True,0.15,False
000300.SH,沪深300,5,120,14,40,1.05,1.15,0.024462613730782623,-0.33689564903294567,12,9.82698658155346,0.0,True,0.15,False
000300.SH,沪深300,5,250,14,40,1.05,1.15,0.024996168875865088,-0.27687727515282645,7,7.16016298028503,0.0,True,0.15,True
000300.SH,沪深300,10,30,14,40,1.05,1.15,0.012269772216200403,-0.42021320134089724,14,8.162688058756613,0.0,True,0.15,False
000300.SH,沪深300,10,120,14,40,1.05,1.15,0.0263754320792442,-0.3909512690592172,7,4.761338527764673,0.0,True,0.15,False
000300.SH,沪深300,10,250,14,40,1.05,1.15,0.03681261901659183,-0.3599058603383597,5,5.5765035154008125,0.0,True,0.15,False
000300.SH,沪深300,20,30,14,40,1.05,1.15,0.029317900073030145,-0.3514314436119086,20,12.162781357534408,0.0,True,0.15,False
000300.SH,沪深300,20,120,14,40,1.05,1.15,-0.003330065462129328,-0.43706821164850684,8,4.079287908275839,0.0,True,0.15,False
000300.SH,沪深300,20,250,14,40,1.05,1.15,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
000300.SH,沪深300,30,120,14,40,1.05,1.15,0.019816420608294694,-0.3512989482061427,5,5.279213964107274,0.0,True,0.15,False
000300.SH,沪深300,30,250,14,40,1.05,1.15,0.04548024871906753,-0.34347908697075646,3,3.536033741464317,0.0,True,0.15,True
