symbol,symbol_name,fast_ma,slow_ma,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,annualized_excess_return,max_drawdown,trade_count,turnover_rate,whipsaw_rate,enable_volatility_scaling,target_volatility,eligible
000300.SH,沪深300,20,250,10,20,1.0,1.05,0.01720181334319859,-0.1741229120572817,3,2.957916015302514,0.0,True,0.15,True
000300.SH,沪深300,20,250,10,20,1.0,1.1,0.0027816535100173567,-0.2409353128161017,1,0.9997000899730081,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,20,1.0,1.15,0.0027816535100173567,-0.2409353128161017,1,0.9997000899730081,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,20,1.05,1.05,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
000300.SH,沪深300,20,250,10,20,1.05,1.1,0.03608705796984801,-0.3619603546885165,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,20,1.05,1.15,0.03608705796984801,-0.3619603546885165,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,20,1.1,1.05,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
000300.SH,沪深300,20,250,10,20,1.1,1.1,0.03608705796984801,-0.3619603546885165,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,20,1.1,1.15,0.03608705796984801,-0.3619603546885165,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,40,1.0,1.05,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
000300.SH,沪深300,20,250,10,40,1.0,1.1,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
000300.SH,沪深300,20,250,10,40,1.0,1.15,0.03608705796984801,-0.3619603546885165,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,40,1.05,1.05,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
000300.SH,沪深300,20,250,10,40,1.05,1.1,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
000300.SH,沪深300,20,250,10,40,1.05,1.15,0.03608705796984801,-0.3619603546885165,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,40,1.1,1.05,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
000300.SH,沪深300,20,250,10,40,1.1,1.1,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
000300.SH,沪深300,20,250,10,40,1.1,1.15,0.03608705796984801,-0.3619603546885165,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,60,1.0,1.05,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
000300.SH,沪深300,20,250,10,60,1.0,1.1,0.03608705796984801,-0.3619603546885165,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,60,1.0,1.15,0.03608705796984801,-0.3619603546885165,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,60,1.05,1.05,0.0515833680557336,-0.303440173890853,5,5.808972020371413,0.0,True,0.15,True
000300.SH,沪深300,20,250,10,60,1.05,1.1,0.036682244314672596,-0.35979097346373834,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,60,1.05,1.15,0.036682244314672596,-0.35979097346373834,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,60,1.1,1.05,0.0515833680557336,-0.303440173890853,5,5.808972020371413,0.0,True,0.15,True
000300.SH,沪深300,20,250,10,60,1.1,1.1,0.036682244314672596,-0.35979097346373834,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,10,60,1.1,1.15,0.036682244314672596,-0.35979097346373834,3,3.425639548579055,0.0,True,0.15,False
000300.SH,沪深300,20,250,14,20,1.0,1.05,0.01720181334319859,-0.1741229120572817,3,2.957916015302514,0.0,True,0.15,True
000300.SH,沪深300,20,250,14,20,1.0,1.1,0.01720181334319859,-0.1741229120572817,3,2.957916015302514,0.0,True,0.15,True
000300.SH,沪深300,20,250,14,20,1.0,1.15,0.01720181334319859,-0.1741229120572817,3,2.957916015302514,0.0,True,0.15,True
000300.SH,沪深300,20,250,14,20,1.05,1.05,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
000300.SH,沪深300,20,250,14,20,1.05,1.1,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
000300.SH,沪深300,20,250,14,20,1.05,1.15,0.05097973751735574,-0.3058005026991978,5,5.800895975669757,0.0,True,0.15,True
