run_id,symbol,name,mode,window_count,window_min,window_max,step,positive_consensus_threshold,negative_consensus_threshold,sell_vote_threshold,buy_vote_threshold,sell_confirm_days,buy_confirm_days,vol_breakout_mult,drawdown_confirm_threshold,final_nav,total_return,benchmark_return,annualized_return,annualized_excess_return,calmar_ratio,max_drawdown,trade_count,signal_count,average_position,turnover_rate,whipsaw_rate,latest_action,latest_signal,start_date,end_date,eligible,objective_score,risk_band,suggest_position
1,000001.SH,上证综指,single_window,9,40,120,120,0.2,0.2,2,3,1,2,1.02,0.05,1.1797330588054316,0.17973305880543156,0.16809331088905588,0.015385717231563678,0.0009296072426994151,0.02941831769151218,-0.5229978611592324,1,1,0.9842375366568915,0.9997000899730082,0.0,hold,none,2015-01-05,2026-03-27,False,-1.0,DANGER,0-20%
2,000001.SH,上证综指,single_window,9,40,120,120,0.2,0.2,2,3,1,2,1.02,0.08,1.1797330588054316,0.17973305880543156,0.16809331088905588,0.015385717231563678,0.0009296072426994151,0.02941831769151218,-0.5229978611592324,1,1,0.9842375366568915,0.9997000899730082,0.0,hold,none,2015-01-05,2026-03-27,False,-1.0,DANGER,0-20%
3,000001.SH,上证综指,single_window,9,40,120,120,0.2,0.2,2,3,1,2,1.05,0.05,1.1797330588054316,0.17973305880543156,0.16809331088905588,0.015385717231563678,0.0009296072426994151,0.02941831769151218,-0.5229978611592324,1,1,0.9842375366568915,0.9997000899730082,0.0,hold,none,2015-01-05,2026-03-27,False,-1.0,DANGER,0-20%
4,000001.SH,上证综指,single_window,9,40,120,120,0.2,0.2,2,3,1,2,1.05,0.08,1.1797330588054316,0.17973305880543156,0.16809331088905588,0.015385717231563678,0.0009296072426994151,0.02941831769151218,-0.5229978611592324,1,1,0.9842375366568915,0.9997000899730082,0.0,hold,none,2015-01-05,2026-03-27,False,-1.0,DANGER,0-20%
5,000001.SH,上证综指,single_window,9,40,120,120,0.2,0.2,2,3,2,2,1.02,0.05,1.1797330588054316,0.17973305880543156,0.16809331088905588,0.015385717231563678,0.0009296072426994151,0.02941831769151218,-0.5229978611592324,1,1,0.9842375366568915,0.9997000899730082,0.0,hold,none,2015-01-05,2026-03-27,False,-1.0,DANGER,0-20%
6,000001.SH,上证综指,single_window,9,40,120,120,0.2,0.2,2,3,2,2,1.02,0.08,1.1797330588054316,0.17973305880543156,0.16809331088905588,0.015385717231563678,0.0009296072426994151,0.02941831769151218,-0.5229978611592324,1,1,0.9842375366568915,0.9997000899730082,0.0,hold,none,2015-01-05,2026-03-27,False,-1.0,DANGER,0-20%
7,000001.SH,上证综指,single_window,9,40,120,120,0.2,0.2,2,3,2,2,1.05,0.05,1.1797330588054316,0.17973305880543156,0.16809331088905588,0.015385717231563678,0.0009296072426994151,0.02941831769151218,-0.5229978611592324,1,1,0.9842375366568915,0.9997000899730082,0.0,hold,none,2015-01-05,2026-03-27,False,-1.0,DANGER,0-20%
8,000001.SH,上证综指,single_window,9,40,120,120,0.2,0.2,2,3,2,2,1.05,0.08,1.1797330588054316,0.17973305880543156,0.16809331088905588,0.015385717231563678,0.0009296072426994151,0.02941831769151218,-0.5229978611592324,1,1,0.9842375366568915,0.9997000899730082,0.0,hold,none,2015-01-05,2026-03-27,False,-1.0,DANGER,0-20%
9,000001.SH,上证综指,single_window,9,40,120,120,0.2,0.2,3,3,1,2,1.02,0.05,1.1797330588054316,0.17973305880543156,0.16809331088905588,0.015385717231563678,0.0009296072426994151,0.02941831769151218,-0.5229978611592324,1,1,0.9842375366568915,0.9997000899730082,0.0,hold,none,2015-01-05,2026-03-27,False,-1.0,DANGER,0-20%
10,000001.SH,上证综指,single_window,9,40,120,120,0.2,0.2,3,3,1,2,1.02,0.08,1.1797330588054316,0.17973305880543156,0.16809331088905588,0.015385717231563678,0.0009296072426994151,0.02941831769151218,-0.5229978611592324,1,1,0.9842375366568915,0.9997000899730082,0.0,hold,none,2015-01-05,2026-03-27,False,-1.0,DANGER,0-20%
