run_id,symbol,name,mode,window_count,window_min,window_max,step,positive_consensus_threshold,negative_consensus_threshold,sell_vote_threshold,buy_vote_threshold,sell_confirm_days,buy_confirm_days,vol_breakout_mult,drawdown_confirm_threshold,cooldown_days,buy_volatility_cap,final_nav,total_return,benchmark_return,annualized_return,annualized_excess_return,calmar_ratio,max_drawdown,trade_count,signal_count,average_position,turnover_rate,whipsaw_rate,latest_action,latest_signal,start_date,end_date,reject_reason,eligible,objective_score,risk_band,suggest_position
3,000300.SH,沪深300,single_window,9,40,120,120,0.25,0.2,2,3,2,2,1.0,0.08,10,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
4,000300.SH,沪深300,single_window,9,40,120,120,0.25,0.2,2,3,2,2,1.0,0.08,15,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
7,000300.SH,沪深300,single_window,9,40,120,120,0.25,0.2,2,3,2,2,1.02,0.08,10,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
8,000300.SH,沪深300,single_window,9,40,120,120,0.25,0.2,2,3,2,2,1.02,0.08,15,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
11,000300.SH,沪深300,single_window,9,40,120,120,0.25,0.2,2,3,2,2,1.05,0.08,10,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
12,000300.SH,沪深300,single_window,9,40,120,120,0.25,0.2,2,3,2,2,1.05,0.08,15,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
27,000300.SH,沪深300,single_window,9,40,120,120,0.25,0.2,3,3,2,2,1.0,0.08,10,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
28,000300.SH,沪深300,single_window,9,40,120,120,0.25,0.2,3,3,2,2,1.0,0.08,15,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
31,000300.SH,沪深300,single_window,9,40,120,120,0.25,0.2,3,3,2,2,1.02,0.08,10,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
32,000300.SH,沪深300,single_window,9,40,120,120,0.25,0.2,3,3,2,2,1.02,0.08,15,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
35,000300.SH,沪深300,single_window,9,40,120,120,0.25,0.2,3,3,2,2,1.05,0.08,10,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
36,000300.SH,沪深300,single_window,9,40,120,120,0.25,0.2,3,3,2,2,1.05,0.08,15,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
51,000300.SH,沪深300,single_window,9,40,120,120,0.3,0.2,2,3,2,2,1.0,0.08,10,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
52,000300.SH,沪深300,single_window,9,40,120,120,0.3,0.2,2,3,2,2,1.0,0.08,15,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
55,000300.SH,沪深300,single_window,9,40,120,120,0.3,0.2,2,3,2,2,1.02,0.08,10,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
56,000300.SH,沪深300,single_window,9,40,120,120,0.3,0.2,2,3,2,2,1.02,0.08,15,1.0,1.2886567662720074,0.2886567662720074,0.08437132728358665,0.04326035296014896,0.029641545160202343,0.2531862449407979,-0.17086375671894993,3,3,0.31146454605699136,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7472222222222222,Watch,60-80%
