run_id,symbol,name,mode,window_count,window_min,window_max,step,positive_consensus_threshold,negative_consensus_threshold,sell_vote_threshold,buy_vote_threshold,sell_confirm_days,buy_confirm_days,vol_breakout_mult,drawdown_confirm_threshold,cooldown_days,buy_volatility_cap,final_nav,total_return,benchmark_return,annualized_return,annualized_excess_return,calmar_ratio,max_drawdown,trade_count,signal_count,average_position,turnover_rate,whipsaw_rate,latest_action,latest_signal,start_date,end_date,reject_reason,eligible,objective_score,risk_band,suggest_position
25,000905.SH,中证500,single_window,9,40,120,120,0.1,0.15000000000000002,2,3,1,2,1.0,0.03,5,1.0,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
26,000905.SH,中证500,single_window,9,40,120,120,0.1,0.15000000000000002,2,3,1,2,1.0,0.03,5,1.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
27,000905.SH,中证500,single_window,9,40,120,120,0.1,0.15000000000000002,2,3,1,2,1.0,0.03,10,1.0,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
28,000905.SH,中证500,single_window,9,40,120,120,0.1,0.15000000000000002,2,3,1,2,1.0,0.03,10,1.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
29,000905.SH,中证500,single_window,9,40,120,120,0.1,0.15000000000000002,2,3,1,2,1.0,0.05,5,1.0,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
30,000905.SH,中证500,single_window,9,40,120,120,0.1,0.15000000000000002,2,3,1,2,1.0,0.05,5,1.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
31,000905.SH,中证500,single_window,9,40,120,120,0.1,0.15000000000000002,2,3,1,2,1.0,0.05,10,1.0,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
32,000905.SH,中证500,single_window,9,40,120,120,0.1,0.15000000000000002,2,3,1,2,1.0,0.05,10,1.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
57,000905.SH,中证500,single_window,9,40,120,120,0.1,0.2,2,3,1,2,1.0,0.03,5,1.0,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
58,000905.SH,中证500,single_window,9,40,120,120,0.1,0.2,2,3,1,2,1.0,0.03,5,1.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
59,000905.SH,中证500,single_window,9,40,120,120,0.1,0.2,2,3,1,2,1.0,0.03,10,1.0,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
60,000905.SH,中证500,single_window,9,40,120,120,0.1,0.2,2,3,1,2,1.0,0.03,10,1.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
61,000905.SH,中证500,single_window,9,40,120,120,0.1,0.2,2,3,1,2,1.0,0.05,5,1.0,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
62,000905.SH,中证500,single_window,9,40,120,120,0.1,0.2,2,3,1,2,1.0,0.05,5,1.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
63,000905.SH,中证500,single_window,9,40,120,120,0.1,0.2,2,3,1,2,1.0,0.05,10,1.0,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
64,000905.SH,中证500,single_window,9,40,120,120,0.1,0.2,2,3,1,2,1.0,0.05,10,1.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
89,000905.SH,中证500,single_window,9,40,120,120,0.15000000000000002,0.15000000000000002,2,3,1,2,1.0,0.03,5,1.0,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
90,000905.SH,中证500,single_window,9,40,120,120,0.15000000000000002,0.15000000000000002,2,3,1,2,1.0,0.03,5,1.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,-1.0,DANGER,0-20%
