run_id,symbol,name,mode,window_count,window_min,window_max,step,positive_consensus_threshold,negative_consensus_threshold,sell_vote_threshold,buy_vote_threshold,sell_confirm_days,buy_confirm_days,vol_breakout_mult,drawdown_confirm_threshold,cooldown_days,buy_volatility_cap,final_nav,total_return,benchmark_return,annualized_return,annualized_excess_return,calmar_ratio,max_drawdown,trade_count,signal_count,average_position,turnover_rate,whipsaw_rate,latest_action,latest_signal,start_date,end_date,reject_reason,eligible,objective_score,risk_band,suggest_position
11,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,2,2,1.0,0.08,15,1.0,1.1037075184835063,0.10370751848350634,-0.08202327530145626,0.016615045891524627,0.03080562823448718,0.05914688683408868,-0.2809115877583048,3,3,0.6739562624254473,3.266366978261616,0.0,hold,none,2020-01-02,2026-03-27,,True,0.803125,DANGER,0-20%
12,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,2,2,1.0,0.08,20,1.0,1.1037075184835063,0.10370751848350634,-0.08202327530145626,0.016615045891524627,0.03080562823448718,0.05914688683408868,-0.2809115877583048,3,3,0.6739562624254473,3.266366978261616,0.0,hold,none,2020-01-02,2026-03-27,,True,0.803125,DANGER,0-20%
15,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,2,2,1.02,0.08,15,1.0,1.1037075184835063,0.10370751848350634,-0.08202327530145626,0.016615045891524627,0.03080562823448718,0.05914688683408868,-0.2809115877583048,3,3,0.6739562624254473,3.266366978261616,0.0,hold,none,2020-01-02,2026-03-27,,True,0.803125,DANGER,0-20%
16,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,2,2,1.02,0.08,20,1.0,1.1037075184835063,0.10370751848350634,-0.08202327530145626,0.016615045891524627,0.03080562823448718,0.05914688683408868,-0.2809115877583048,3,3,0.6739562624254473,3.266366978261616,0.0,hold,none,2020-01-02,2026-03-27,,True,0.803125,DANGER,0-20%
59,000016.SH,上证50,single_window,16,30,180,60,0.3,0.2,2,3,2,2,1.0,0.08,15,1.0,1.1037075184835063,0.10370751848350634,-0.08202327530145626,0.016615045891524627,0.03080562823448718,0.05914688683408868,-0.2809115877583048,3,3,0.6739562624254473,3.266366978261616,0.0,hold,none,2020-01-02,2026-03-27,,True,0.803125,DANGER,0-20%
60,000016.SH,上证50,single_window,16,30,180,60,0.3,0.2,2,3,2,2,1.0,0.08,20,1.0,1.1037075184835063,0.10370751848350634,-0.08202327530145626,0.016615045891524627,0.03080562823448718,0.05914688683408868,-0.2809115877583048,3,3,0.6739562624254473,3.266366978261616,0.0,hold,none,2020-01-02,2026-03-27,,True,0.803125,DANGER,0-20%
63,000016.SH,上证50,single_window,16,30,180,60,0.3,0.2,2,3,2,2,1.02,0.08,15,1.0,1.1037075184835063,0.10370751848350634,-0.08202327530145626,0.016615045891524627,0.03080562823448718,0.05914688683408868,-0.2809115877583048,3,3,0.6739562624254473,3.266366978261616,0.0,hold,none,2020-01-02,2026-03-27,,True,0.803125,DANGER,0-20%
64,000016.SH,上证50,single_window,16,30,180,60,0.3,0.2,2,3,2,2,1.02,0.08,20,1.0,1.1037075184835063,0.10370751848350634,-0.08202327530145626,0.016615045891524627,0.03080562823448718,0.05914688683408868,-0.2809115877583048,3,3,0.6739562624254473,3.266366978261616,0.0,hold,none,2020-01-02,2026-03-27,,True,0.803125,DANGER,0-20%
19,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,3,2,1.0,0.08,15,1.0,1.0986441635194004,0.09864416351940042,-0.08202327530145626,0.01583470643577689,0.030025288778739445,0.05636900407754274,-0.2809115877583048,3,3,0.6746189529489728,3.2559684452729485,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7739583333333333,DANGER,0-20%
20,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,3,2,1.0,0.08,20,1.0,1.0986441635194004,0.09864416351940042,-0.08202327530145626,0.01583470643577689,0.030025288778739445,0.05636900407754274,-0.2809115877583048,3,3,0.6746189529489728,3.2559684452729485,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7739583333333333,DANGER,0-20%
23,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,3,2,1.02,0.08,15,1.0,1.0986441635194004,0.09864416351940042,-0.08202327530145626,0.01583470643577689,0.030025288778739445,0.05636900407754274,-0.2809115877583048,3,3,0.6746189529489728,3.2559684452729485,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7739583333333333,DANGER,0-20%
24,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,3,2,1.02,0.08,20,1.0,1.0986441635194004,0.09864416351940042,-0.08202327530145626,0.01583470643577689,0.030025288778739445,0.05636900407754274,-0.2809115877583048,3,3,0.6746189529489728,3.2559684452729485,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7739583333333333,DANGER,0-20%
67,000016.SH,上证50,single_window,16,30,180,60,0.3,0.2,2,3,3,2,1.0,0.08,15,1.0,1.0986441635194004,0.09864416351940042,-0.08202327530145626,0.01583470643577689,0.030025288778739445,0.05636900407754274,-0.2809115877583048,3,3,0.6746189529489728,3.2559684452729485,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7739583333333333,DANGER,0-20%
68,000016.SH,上证50,single_window,16,30,180,60,0.3,0.2,2,3,3,2,1.0,0.08,20,1.0,1.0986441635194004,0.09864416351940042,-0.08202327530145626,0.01583470643577689,0.030025288778739445,0.05636900407754274,-0.2809115877583048,3,3,0.6746189529489728,3.2559684452729485,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7739583333333333,DANGER,0-20%
71,000016.SH,上证50,single_window,16,30,180,60,0.3,0.2,2,3,3,2,1.02,0.08,15,1.0,1.0986441635194004,0.09864416351940042,-0.08202327530145626,0.01583470643577689,0.030025288778739445,0.05636900407754274,-0.2809115877583048,3,3,0.6746189529489728,3.2559684452729485,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7739583333333333,DANGER,0-20%
72,000016.SH,上证50,single_window,16,30,180,60,0.3,0.2,2,3,3,2,1.02,0.08,20,1.0,1.0986441635194004,0.09864416351940042,-0.08202327530145626,0.01583470643577689,0.030025288778739445,0.05636900407754274,-0.2809115877583048,3,3,0.6746189529489728,3.2559684452729485,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7739583333333333,DANGER,0-20%
9,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,2,2,1.0,0.05,15,1.0,1.058698036388018,0.05869803638801807,-0.08202327530145626,0.009571059923332736,0.02376164226629529,0.03407143151235056,-0.2809115877583048,5,5,0.5950960901259112,5.299470788469765,0.0,hold,none,2020-01-02,2026-03-27,,True,0.6656249999999998,DANGER,0-20%
10,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,2,2,1.0,0.05,20,1.0,1.058698036388018,0.05869803638801807,-0.08202327530145626,0.009571059923332736,0.02376164226629529,0.03407143151235056,-0.2809115877583048,5,5,0.5950960901259112,5.299470788469765,0.0,hold,none,2020-01-02,2026-03-27,,True,0.6656249999999998,DANGER,0-20%
