symbol,name,family,step,r2_threshold,warning_days,danger_days,positive_consensus_threshold,negative_consensus_threshold,buy_vote_threshold,buy_confirm_days,sell_vote_threshold,sell_confirm_days,cooldown_days,vol_breakout_mult,high_volatility_position_cap,buy_reentry_drawdown_threshold,buy_trend_slow_buffer,post_sell_reentry_cooldown_days,min_hold_bars,final_nav,total_return,benchmark_return,annualized_return,annualized_excess_return,calmar_ratio,max_drawdown,trade_count,signal_count,average_position,turnover_rate,whipsaw_rate,latest_action,latest_signal,start_date,end_date,reject_reason,eligible,objective_score,risk_band,suggest_position,baseline_excess,baseline_drawdown,baseline_trade_count,delta_excess,delta_drawdown,delta_trade_count
000905.SH,中证500,macro,40,0.4,80,25,0.15000000000000002,0.15000000000000002,2,1,2,2,8,1.03,0.5,0.08,0.98,10,0,1.5151693677054419,0.5151693677054419,0.44193218961860836,0.07185653107594048,0.0088315469553355,0.227607378876028,-0.3157038731818924,10,10,0.5966826887348934,5.584948703712527,0.0,hold,none,2020-01-02,2026-03-27,,True,0.7937500000000001,DANGER,0-20%,-0.0225136146393245,-0.1587973966682497,2,0.03134516159466,-0.1569064765136427,8
000001.SH,上证综指,narrow,20,0.4,80,25,0.2,0.15000000000000002,2,1,2,2,8,1.05,0.5,0.08,0.99,10,0,1.2358412305390212,0.23584123053902117,0.2685466096201219,0.035994821986493175,-0.00452885805279668,0.13199439562955956,-0.2726996234560757,4,4,0.9132300571041483,2.0493366024804613,0.0,hold,negative_bubble,2020-01-02,2026-03-27,non_positive_excess,False,0.7781250000000001,DANGER,0-20%,-0.0177236263363955,-0.2726996234560757,2,0.01319476828359882,0.0,2
000001.SH,上证综指,narrow,40,0.4,80,25,0.2,0.15000000000000002,2,1,2,2,8,1.05,0.5,0.08,0.99,10,0,1.2101555923103495,0.21015559231034953,0.2685466096201219,0.032367484970610594,-0.008156195068679262,0.11869281138125258,-0.2726996234560757,4,4,0.868294663515628,2.0493366024804613,0.0,hold,negative_bubble,2020-01-02,2026-03-27,non_positive_excess,False,0.7156250000000001,DANGER,0-20%,-0.0177236263363955,-0.2726996234560757,2,0.00956743126771624,0.0,2
000905.SH,中证500,macro,20,0.4,80,25,0.15000000000000002,0.15000000000000002,2,1,2,2,8,1.03,0.5,0.08,0.98,10,0,1.2887146810682306,0.2887146810682306,0.44193218961860836,0.04326818271472388,-0.019756801405881097,0.1370530626648187,-0.3157038731818924,16,16,0.6398370192539068,8.187857098751177,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,turnover_cap",False,0.6208333333333333,DANGER,0-20%,-0.0225136146393245,-0.1587973966682497,2,0.002756813233443404,-0.1569064765136427,14
000001.SH,上证综指,macro,20,0.4,80,25,0.2,0.15000000000000002,2,1,2,2,8,1.05,0.5,0.08,0.99,10,0,1.1964879603645915,0.19648796036459149,0.2685466096201219,0.030411119624005112,-0.010112560415284744,0.09983882485212764,-0.30460213918831025,6,6,0.8769279815084853,3.107497664292858,0.0,hold,none,2020-01-02,2026-03-27,non_positive_excess,False,0.6197916666666666,DANGER,0-20%,-0.0177236263363955,-0.2726996234560757,2,0.007611065921110757,-0.03190251573223457,4
000001.SH,上证综指,macro,40,0.4,80,25,0.2,0.15000000000000002,2,1,2,2,8,1.05,0.5,0.08,0.99,10,0,1.158827680458854,0.15882768045885398,0.2685466096201219,0.02492248861313673,-0.015601191426153127,0.09139172360152176,-0.2726996234560757,2,2,0.8810256933169103,0.9997000899730081,0.0,hold,none,2020-01-02,2026-03-27,"trade_count,non_positive_excess",False,0.6135416666666667,DANGER,0-20%,-0.0177236263363955,-0.2726996234560757,2,0.002122434910242374,0.0,0
000852.SH,中证1000,wide,20,0.5,60,20,0.25,0.25,3,3,2,2,12,1.1,0.33,0.12,0.99,30,25,1.2817579306220803,0.2817579306220803,0.3646134278506701,0.04232556522894648,-0.010960507163499278,0.09861381244999366,-0.42920524191689136,5,5,0.7653217023877029,2.768248069378568,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.5468749999999999,DANGER,0-20%,-0.0378060101312811,-0.4340101053724092,8,0.02684550296778182,0.004804863455517838,-3
000852.SH,中证1000,wide,20,0.5,60,20,0.25,0.25,3,3,2,2,12,1.1,0.5,0.12,0.99,30,25,1.2817579306220803,0.2817579306220803,0.3646134278506701,0.04232556522894648,-0.010960507163499278,0.09861381244999366,-0.42920524191689136,5,5,0.7653217023877029,2.768248069378568,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.5468749999999999,DANGER,0-20%,-0.0378060101312811,-0.4340101053724092,8,0.02684550296778182,0.004804863455517838,-3
932000.SH,中证2000,narrow,20,0.5,80,25,0.25,0.25,3,3,3,3,15,1.1,0.33,0.1,0.99,30,25,1.4290847523433783,0.4290847523433783,0.7530737704918031,0.06143737381178482,-0.03684533793098188,0.14168483711101115,-0.4336199629015218,8,8,0.8508321391274282,4.357052664641479,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.5322916666666666,DANGER,0-20%,-0.0368453379309818,-0.4336199629015218,8,-8.326672684688674e-17,0.0,0
932000.SH,中证2000,narrow,20,0.5,80,25,0.25,0.25,3,3,3,3,15,1.1,0.5,0.1,0.99,30,25,1.4290847523433783,0.4290847523433783,0.7530737704918031,0.06143737381178482,-0.03684533793098188,0.14168483711101115,-0.4336199629015218,8,8,0.8508321391274282,4.357052664641479,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.5322916666666666,DANGER,0-20%,-0.0368453379309818,-0.4336199629015218,8,-8.326672684688674e-17,0.0,0
