symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,factor_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
601728.SH,中国电信,9,2022-04-27,event_bottom,accumulation,观察等待,C,spring,True,True,BUY,-1.55,1.29,5.68,4.02,-5.57
601728.SH,中国电信,10,2022-10-31,bear_bottom,accumulation,空仓观望,C,sos_candidate,True,False,HOLD,85.24,91.09,1.53,13.57,71.67
601728.SH,中国电信,11,2022-12-23,rebound_start,markup,持有观察,C,markup,True,False,AVOID,51.06,77.54,1.89,2.86,48.2
601728.SH,中国电信,12,2023-05-25,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,2.82,14.46,3.7,-5.02,7.84
601728.SH,中国电信,13,2023-10-23,bear_bottom,distribution,空仓观望,C,distribution,True,False,HOLD,4.23,9.68,12.15,2.21,2.02
601728.SH,中国电信,14,2024-02-05,crash_bottom,distribution,空仓观望,C,distribution,True,False,HOLD,-0.34,9.54,5.45,8.74,-9.08
601728.SH,中国电信,15,2024-05-20,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,7.78,9.14,4.74,-3.95,11.73
601728.SH,中国电信,16,2024-09-13,bear_bottom,accumulation,空仓观望,C,sos_candidate,True,False,HOLD,19.16,23.53,1.68,21.64,-2.48
601728.SH,中国电信,17,2024-10-08,crash_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,17.42,26.58,5.71,-7.69,25.11
601728.SH,中国电信,18,2025-01-13,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,16.4,26.06,2.93,3.48,12.92
601728.SH,中国电信,19,2025-03-04,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,-1.67,7.82,4.1,3.44,-5.11
601728.SH,中国电信,20,2025-04-07,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,-6.99,5.59,7.62,17.08,-24.07
600273.SH,嘉化能源,1,2018-10-19,bear_bottom,markup,持有观察,C,markup,True,False,AVOID,7.24,10.01,14.7,21.72,-14.48
600273.SH,嘉化能源,2,2019-01-04,rebound_start,unknown,空仓观望,D,no_signal,False,False,HOLD,24.97,105.38,3.21,18.05,6.92
600273.SH,嘉化能源,3,2019-08-06,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,13.16,39.89,6.31,10.9,2.26
600273.SH,嘉化能源,4,2020-03-23,event_bottom,markdown,空仓观望,D,markdown,True,False,HOLD,49.1,51.69,6.09,35.28,13.82
600273.SH,嘉化能源,5,2020-07-01,bull_start,accumulation,观察等待,C,spring,True,True,BUY,24.0,61.6,0.23,15.55,8.45
600273.SH,嘉化能源,6,2021-03-09,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,3.75,18.16,6.7,2.78,0.97
600273.SH,嘉化能源,7,2021-07-28,structural_low,accumulation,观察等待,C,spring,True,True,BUY,23.64,70.59,-1.5,6.19,17.45
600273.SH,嘉化能源,8,2021-11-10,rebound_start,markdown,空仓观望,C,markdown,True,False,HOLD,3.38,24.47,5.06,-11.82,15.2
600273.SH,嘉化能源,9,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,7.82,16.43,1.9,4.02,3.8
