cycle_id,cycle_year,as_of_date,symbol,name,data_rows,wyckoff_phase,wyckoff_direction,wyckoff_confidence,wyckoff_signal_type,lppl_score,lppl_level,n_danger_layers,regime,regime_weight,phase_weight,fusion_score,fusion_score_regime,future_return_pct,future_max_gain_pct,future_max_dd_pct
1,2012,2012-04-05,600008.SH,首创环保,6212,markdown,空仓观望,C,markdown,0.2249,watch,1,weak_bull,1.0,1.0,0.2249,0.2249,-21.47,12.13,21.87
2,2013,2013-07-12,600008.SH,首创环保,6212,unknown,空仓观望,D,no_signal,0.0567,none,0,weak_bull,1.0,0.3,0.017,0.017,-5.96,25.38,9.79
3,2015,2015-11-24,600008.SH,首创环保,6212,unknown,空仓观望,D,no_signal,0.1832,none,0,weak_bull,1.0,0.3,0.055,0.055,-26.11,5.37,40.58
4,2016,2016-06-25,600008.SH,首创环保,6212,markdown,空仓观望,C,markdown,0.1413,none,0,weak_bull,1.0,1.0,0.1413,0.1413,5.94,22.22,1.81
5,2017,2017-06-19,600008.SH,首创环保,6212,unknown,空仓观望,D,no_signal,0.0589,none,0,weak_bull,1.0,0.3,0.0177,0.0177,-25.6,4.41,27.31
6,2018,2018-07-05,600008.SH,首创环保,6212,markdown,空仓观望,C,markdown,0.1186,none,0,weak_bull,1.0,1.0,0.1186,0.1186,-18.14,5.25,28.88
7,2020,2020-05-11,600008.SH,首创环保,6212,markup,持有观察,C,markup,0.1203,none,0,weak_bull,1.0,0.0,0.0,0.0,-7.27,8.79,13.33
8,2021,2021-04-17,600008.SH,首创环保,6212,unknown,空仓观望,D,no_signal,0.0982,none,0,weak_bull,1.0,0.3,0.0295,0.0295,12.34,48.05,5.19
9,2022,2022-04-16,600008.SH,首创环保,6212,unknown,空仓观望,D,no_signal,0.2485,watch,1,weak_bull,1.0,0.3,0.0745,0.0745,-14.92,0.32,18.1
10,2024,2024-07-06,600008.SH,首创环保,6212,unknown,空仓观望,D,no_signal,0.083,none,0,weak_bull,1.0,0.3,0.0249,0.0249,18.84,35.14,1.81
1,2012,2012-04-05,600011.SH,华能国际,5849,accumulation,观察等待,C,spring,0.12,none,0,weak_bull,1.0,0.5,0.06,0.06,13.01,41.75,2.14
2,2013,2013-07-12,600011.SH,华能国际,5849,unknown,空仓观望,D,no_signal,0.0733,none,0,weak_bull,1.0,0.3,0.022,0.022,-13.45,13.82,15.09
3,2015,2015-11-24,600011.SH,华能国际,5849,unknown,空仓观望,D,no_signal,0.1823,none,0,weak_bull,1.0,0.3,0.0547,0.0547,-21.71,0.54,28.94
4,2016,2016-06-25,600011.SH,华能国际,5849,distribution,空仓观望,D,distribution,0.4482,warning,1,weak_bull,1.0,0.0,0.0,0.0,-3.42,8.76,4.38
5,2017,2017-06-19,600011.SH,华能国际,5849,accumulation,空仓观望,C,sos_candidate,0.0786,none,0,weak_bull,1.0,0.5,0.0393,0.0393,-16.39,2.3,19.59
6,2018,2018-07-05,600011.SH,华能国际,5849,accumulation,观察等待,C,spring,0.2598,watch,0,weak_bull,1.0,0.5,0.1299,0.1299,9.66,21.69,14.12
7,2020,2020-05-11,600011.SH,华能国际,5849,unknown,空仓观望,D,no_signal,0.1707,none,0,weak_bull,1.0,0.3,0.0512,0.0512,14.35,44.68,4.4
8,2021,2021-04-17,600011.SH,华能国际,5849,unknown,空仓观望,D,no_signal,0.3179,watch,1,weak_bull,1.0,0.3,0.0954,0.0954,64.89,112.35,8.72
9,2022,2022-04-16,600011.SH,华能国际,5849,markdown,空仓观望,C,markdown,0.1417,none,0,weak_bull,1.0,1.0,0.1417,0.1417,33.65,47.89,7.98
10,2024,2024-07-06,600011.SH,华能国际,5849,distribution,空仓观望,C,distribution,0.1556,none,0,weak_bull,1.0,0.0,0.0,0.0,-29.7,1.77,34.06
1,2012,2012-04-05,600009.SH,上海机场,6785,accumulation,空仓观望,C,sos_candidate,0.2796,watch,0,weak_bull,1.0,0.5,0.1398,0.1398,-11.3,4.46,12.76
2,2013,2013-07-12,600009.SH,上海机场,6785,unknown,空仓观望,D,no_signal,0.312,watch,1,weak_bull,1.0,0.3,0.0936,0.0936,8.59,36.02,5.23
3,2015,2015-11-24,600009.SH,上海机场,6785,markup,持有观察,C,markup,0.1206,none,0,weak_bull,1.0,0.0,0.0,0.0,-10.1,5.46,17.15
4,2016,2016-06-25,600009.SH,上海机场,6785,distribution,空仓观望,B,distribution,0.3877,watch,1,weak_bull,1.0,0.0,0.0,0.0,2.27,12.91,0.88
5,2017,2017-06-19,600009.SH,上海机场,6785,unknown,空仓观望,D,no_signal,0.1083,none,0,weak_bull,1.0,0.3,0.0325,0.0325,19.63,31.17,1.72
6,2018,2018-07-05,600009.SH,上海机场,6785,markup,持有观察,C,markup,0.1598,none,0,weak_bull,1.0,0.0,0.0,0.0,-11.54,12.9,23.77
7,2020,2020-05-11,600009.SH,上海机场,6785,markup,持有观察,C,markup,0.1129,none,0,weak_bull,1.0,0.0,0.0,0.0,-2.27,19.05,10.35
8,2021,2021-04-17,600009.SH,上海机场,6785,markdown,空仓观望,B,markdown,0.188,none,0,weak_bull,1.0,1.0,0.188,0.188,-8.69,2.57,34.56
9,2022,2022-04-16,600009.SH,上海机场,6785,unknown,空仓观望,D,no_signal,0.2455,watch,1,weak_bull,1.0,0.3,0.0736,0.0736,5.86,19.67,13.2
10,2024,2024-07-06,600009.SH,上海机场,6785,markdown,空仓观望,B,markdown,0.3008,watch,0,weak_bull,1.0,1.0,0.3008,0.3008,3.74,28.37,9.66
