symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,wy_signal,lppl_score,lppl_level,lppl_n_valid,lppl_avg_rmse,lppl_avg_m,fusion_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
601728.SH,中国电信,10,2022-04-27,event_bottom,accumulation,观察等待,C,spring,True,True,BUY,0.0,none,0,1.0,0.0,BUY_NO_LPPL,-1.55,1.29,5.68,4.02,-5.57
601728.SH,中国电信,11,2022-10-31,bear_bottom,accumulation,空仓观望,C,sos_candidate,True,False,HOLD,0.0,none,0,1.0,0.0,OTHER,85.24,91.09,1.53,13.57,71.67
601728.SH,中国电信,12,2023-05-25,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,2.82,14.46,3.7,-5.02,7.84
601728.SH,中国电信,13,2023-10-23,bear_bottom,distribution,空仓观望,C,distribution,True,False,HOLD,0.2772,watch,1,0.01801,0.1935,OTHER,4.23,9.68,12.15,2.21,2.02
601728.SH,中国电信,14,2024-02-05,crash_bottom,distribution,空仓观望,C,distribution,True,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-0.34,9.54,5.45,8.74,-9.08
601728.SH,中国电信,15,2024-05-20,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,7.78,9.14,4.74,-3.95,11.73
601728.SH,中国电信,16,2024-09-13,bear_bottom,accumulation,空仓观望,C,sos_candidate,True,False,HOLD,0.0,none,0,1.0,0.0,OTHER,19.16,23.53,1.68,21.64,-2.48
601728.SH,中国电信,17,2025-01-13,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,16.4,26.06,2.93,3.48,12.92
601728.SH,中国电信,18,2025-03-04,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-1.67,7.82,4.1,3.44,-5.11
601728.SH,中国电信,19,2025-04-07,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-6.99,5.59,7.62,17.08,-24.07
601728.SH,中国电信,20,2025-04-18,rebound_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-4.89,1.38,8.78,18.32,-23.21
600273.SH,嘉化能源,1,2017-05-11,bull_start,distribution,空仓观望,B,distribution,True,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-0.88,5.52,4.75,14.49,-15.37
600273.SH,嘉化能源,2,2018-02-09,crash_bottom,markup,持有观察,C,markup,True,False,AVOID,0.0,none,0,1.0,0.0,AVOID_LPPL_DANGER,0.31,4.93,20.25,-8.58,8.89
600273.SH,嘉化能源,3,2018-10-19,bear_bottom,markup,持有观察,C,markup,True,False,AVOID,0.0,none,0,1.0,0.0,AVOID_LPPL_DANGER,7.24,10.01,14.7,21.72,-14.48
600273.SH,嘉化能源,4,2019-01-04,rebound_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,24.97,105.38,3.21,18.05,6.92
600273.SH,嘉化能源,5,2019-08-06,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,13.16,39.89,6.31,10.9,2.26
600273.SH,嘉化能源,6,2020-03-23,event_bottom,markdown,空仓观望,D,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,49.1,51.69,6.09,35.28,13.82
600273.SH,嘉化能源,7,2020-07-01,bull_start,accumulation,观察等待,C,spring,True,True,BUY,0.0,none,0,1.0,0.0,BUY_NO_LPPL,24.0,61.6,0.23,15.55,8.45
600273.SH,嘉化能源,8,2021-07-28,structural_low,accumulation,观察等待,C,spring,True,True,BUY,0.0,none,0,1.0,0.0,BUY_NO_LPPL,23.64,70.59,-1.5,6.19,17.45
600273.SH,嘉化能源,9,2021-11-10,rebound_start,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,3.38,24.47,5.06,-11.82,15.2
600273.SH,嘉化能源,10,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,7.82,16.43,1.9,4.02,3.8
600273.SH,嘉化能源,11,2022-10-31,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,1.42,7.46,2.6,13.57,-12.15
600273.SH,嘉化能源,12,2023-05-25,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-11.97,8.19,13.45,-5.02,-6.95
600273.SH,嘉化能源,13,2023-10-23,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-0.86,10.57,13.88,2.21,-3.07
600273.SH,嘉化能源,14,2024-02-05,crash_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-0.28,15.48,5.86,8.74,-9.02
600273.SH,嘉化能源,15,2024-05-20,bull_start,accumulation,观察等待,C,spring,True,True,BUY,0.0,none,0,1.0,0.0,BUY_NO_LPPL,-3.85,1.15,15.64,-3.95,0.1
600273.SH,嘉化能源,16,2024-09-13,bear_bottom,accumulation,空仓观望,C,accumulation,True,False,HOLD,0.0,none,0,1.0,0.0,OTHER,10.48,31.16,1.56,21.64,-11.16
600273.SH,嘉化能源,17,2025-01-13,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,9.76,13.98,3.43,3.48,6.28
600273.SH,嘉化能源,18,2025-03-04,bull_start,markup,持有观察,C,markup,True,False,AVOID,0.0,none,0,1.0,0.0,AVOID_LPPL_DANGER,10.25,11.6,9.63,3.44,6.81
600273.SH,嘉化能源,19,2025-04-07,event_bottom,accumulation,观察等待,C,spring,True,True,BUY,0.0,none,0,1.0,0.0,BUY_NO_LPPL,19.35,23.52,1.21,17.08,2.27
600273.SH,嘉化能源,20,2025-04-18,rebound_start,markup,持有观察,D,markup,True,False,AVOID,0.0,none,0,1.0,0.0,AVOID_LPPL_DANGER,3.62,10.86,2.65,18.32,-14.7
688350.SH,富淼科技,9,2021-11-10,rebound_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-2.61,22.05,11.66,-11.82,9.21
688350.SH,富淼科技,10,2022-04-27,event_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,27.56,31.39,1.98,4.02,23.54
688350.SH,富淼科技,11,2022-10-31,bear_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,30.88,34.16,6.56,13.57,17.31
688350.SH,富淼科技,12,2023-05-25,structural_low,markdown,空仓观望,D,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-5.86,1.54,10.93,-5.02,-0.84
688350.SH,富淼科技,13,2023-10-23,bear_bottom,accumulation,观察等待,C,spring,True,True,BUY,0.0,none,0,1.0,0.0,BUY_NO_LPPL,-18.53,15.33,39.2,2.21,-20.74
688350.SH,富淼科技,14,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,0.095,danger,1,0.039668,0.1248,MD_NO_LPPL,11.04,36.79,9.78,8.74,2.3
688350.SH,富淼科技,15,2024-05-20,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-24.55,1.09,33.16,-3.95,-20.6
688350.SH,富淼科技,16,2024-09-13,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,52.46,65.86,3.35,21.64,30.82
688350.SH,富淼科技,17,2025-01-13,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,29.9,37.4,6.67,3.48,26.42
688350.SH,富淼科技,18,2025-03-04,bull_start,markup,持有观察,C,markup,True,False,AVOID,0.0,none,0,1.0,0.0,AVOID_LPPL_DANGER,10.94,14.72,22.08,3.44,7.5
688350.SH,富淼科技,19,2025-04-07,event_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,94.74,109.33,3.9,17.08,77.66
688350.SH,富淼科技,20,2025-04-18,rebound_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,57.76,76.83,2.37,18.32,39.44
688143.SH,长盈通,13,2023-10-23,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-24.53,37.23,53.74,2.21,-26.74
688143.SH,长盈通,14,2024-02-05,crash_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,19.45,64.51,17.29,8.74,10.71
688143.SH,长盈通,15,2024-05-20,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-19.7,16.98,31.74,-3.95,-15.75
688143.SH,长盈通,16,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,77.33,96.44,4.81,21.64,55.69
688143.SH,长盈通,17,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,63.49,86.73,0.0,3.48,60.01
688143.SH,长盈通,18,2025-03-04,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,33.22,37.99,11.31,3.44,29.78
